[SINGLE] args: {'lr': 0.001, 'epochs': 1000, 'batch_size': 1024, 'num_workers': 4, 'learner': 'AdamW', 'lr_scheduler_type': 'linear', 'warmup_epochs': 20, 'data_path': './dataset/Instruments/item_emb.parquet', 'weight_decay': 0.0, 'dropout_prob': 0.0, 'bn': False, 'loss_type': 'mse', 'kmeans_init': True, 'kmeans_iters': 1000, 'sk_epsilons': [0.0, 0.0, 0.0], 'sk_iters': 50, 'num_emb_list': [64, 128, 256], 'e_dim': 32, 'quant_loss_weight': 1.0, 'beta': 1.0, 'layers': [512, 256, 128, 64], 'save_limit': 5, 'ckpt_dir': './ckpt/Instruments', 'learnable_c': True, 'c_init': 1.0, 'c_min': 0.05, 'c_max': 20.0, 'early_stop': 100, 'eval_interval': 10, 'seed': 2024}
[SINGLE] model params: 1,151,651
  L0 init: log_c=0.0000 → c=1.0000
  L1 init: log_c=0.0000 → c=1.0000
  L2 init: log_c=0.0000 → c=1.0000
[SINGLE] starting training: 1000 epochs, EARLY_STOP=100
[E000] loss=0.0129 recon=0.0013 coll=0.0622 N=9922 train=0.8s eval=0.3s c=[0.9998, 0.9998, 0.9998] grad=[0.0001, 0.0000, 0.0000]
  Best ckpt saved: ./ckpt/Instruments/Aug-18-2026_07-03-33_kappa_single_codebook_[64,128,256]_sk_0.000/best_collision_model.pth collision=0.0622
[E001] loss=0.0092 recon=0.0012 coll=0.2021 N=9922 train=0.3s eval=0.3s c=[0.9991, 0.9992, 0.9992] grad=[0.0000, 0.0000, 0.0000]
[E002] loss=0.0059 recon=0.0011 coll=0.3670 N=9922 train=0.3s eval=0.2s c=[0.9983, 0.9985, 0.9985] grad=[0.0000, 0.0000, 0.0000]
[E003] loss=0.0033 recon=0.0008 coll=0.4515 N=9922 train=0.3s eval=0.2s c=[0.9974, 0.9979, 0.9979] grad=[0.0000, 0.0000, 0.0000]
[E004] loss=0.0017 recon=0.0005 coll=0.4375 N=9922 train=0.3s eval=0.2s c=[0.9967, 0.9976, 0.9976] grad=[0.0000, 0.0000, 0.0000]
[E005] loss=0.0010 recon=0.0003 coll=0.4740 N=9922 train=0.3s eval=0.2s c=[0.9961, 0.9974, 0.9974] grad=[0.0000, 0.0000, 0.0000]
[E006] loss=0.0007 recon=0.0003 coll=0.4416 N=9922 train=0.3s eval=0.2s c=[0.9958, 0.9973, 0.9973] grad=[0.0000, 0.0000, 0.0000]
[E007] loss=0.0006 recon=0.0003 coll=0.4185 N=9922 train=0.3s eval=0.3s c=[0.9955, 0.9973, 0.9973] grad=[0.0000, 0.0000, 0.0000]
[E008] loss=0.0005 recon=0.0003 coll=0.4281 N=9922 train=0.3s eval=0.3s c=[0.9953, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E009] loss=0.0004 recon=0.0003 coll=0.3955 N=9922 train=0.3s eval=0.2s c=[0.9952, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E010] loss=0.0004 recon=0.0003 coll=0.3642 N=9922 train=0.3s eval=0.2s c=[0.9950, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E011] loss=0.0004 recon=0.0003 coll=0.3276 N=9922 train=0.3s eval=0.2s c=[0.9949, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E012] loss=0.0004 recon=0.0003 coll=0.3159 N=9922 train=0.3s eval=0.2s c=[0.9948, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E013] loss=0.0004 recon=0.0003 coll=0.3079 N=9922 train=0.3s eval=0.2s c=[0.9947, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E014] loss=0.0004 recon=0.0003 coll=0.3146 N=9922 train=0.3s eval=0.3s c=[0.9946, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E015] loss=0.0004 recon=0.0003 coll=0.3886 N=9922 train=0.3s eval=0.3s c=[0.9944, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E016] loss=0.0004 recon=0.0003 coll=0.3466 N=9922 train=0.3s eval=0.3s c=[0.9943, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E017] loss=0.0004 recon=0.0003 coll=0.3866 N=9922 train=0.3s eval=0.3s c=[0.9942, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E018] loss=0.0004 recon=0.0003 coll=0.4568 N=9922 train=0.4s eval=0.2s c=[0.9941, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E019] loss=0.0003 recon=0.0003 coll=0.6717 N=9922 train=0.3s eval=0.3s c=[0.9940, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E020] loss=0.0009 recon=0.0003 coll=0.9949 N=9922 train=0.3s eval=0.2s c=[0.9937, 0.9972, 0.9972] grad=[0.0000, 0.0000, 0.0000]
[E021] loss=0.0032 recon=0.0003 coll=0.9981 N=9922 train=0.3s eval=0.3s c=[0.9899, 0.9956, 0.9956] grad=[0.0000, 0.0000, 0.0000]
[E022] loss=0.0016 recon=0.0003 coll=0.9997 N=9922 train=0.3s eval=0.2s c=[0.9863, 0.9943, 0.9939] grad=[0.0000, 0.0000, 0.0000]
[E023] loss=0.0010 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9847, 0.9937, 0.9929] grad=[0.0000, 0.0000, 0.0000]
[E024] loss=0.0008 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9839, 0.9935, 0.9923] grad=[0.0000, 0.0000, 0.0000]
[E025] loss=0.0011 recon=0.0003 coll=0.9998 N=9922 train=0.3s eval=0.2s c=[0.9835, 0.9933, 0.9914] grad=[0.0000, 0.0000, 0.0000]
[E026] loss=0.0011 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9831, 0.9931, 0.9900] grad=[0.0000, 0.0000, 0.0000]
[E027] loss=0.0013 recon=0.0003 coll=0.9998 N=9922 train=0.3s eval=0.2s c=[0.9826, 0.9927, 0.9882] grad=[0.0000, 0.0000, 0.0000]
[E028] loss=0.0012 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9821, 0.9923, 0.9860] grad=[0.0000, 0.0000, 0.0000]
[E029] loss=0.0010 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9818, 0.9919, 0.9844] grad=[0.0000, 0.0000, 0.0000]
[E030] loss=0.0010 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9815, 0.9916, 0.9830] grad=[0.0000, 0.0000, 0.0000]
[E031] loss=0.0011 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9812, 0.9914, 0.9812] grad=[0.0000, 0.0000, 0.0000]
[E032] loss=0.0014 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9808, 0.9910, 0.9786] grad=[0.0000, 0.0000, 0.0000]
[E033] loss=0.0015 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9802, 0.9906, 0.9751] grad=[0.0000, 0.0000, 0.0000]
[E034] loss=0.0011 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9797, 0.9902, 0.9729] grad=[0.0000, 0.0000, 0.0000]
[E035] loss=0.0013 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9789, 0.9900, 0.9712] grad=[0.0000, 0.0000, 0.0000]
[E036] loss=0.0020 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9770, 0.9892, 0.9679] grad=[0.0000, 0.0000, 0.0000]
[E037] loss=0.0014 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9754, 0.9878, 0.9649] grad=[0.0000, 0.0000, 0.0000]
[E038] loss=0.0013 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9745, 0.9869, 0.9623] grad=[0.0000, 0.0000, 0.0000]
[E039] loss=0.0010 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9739, 0.9865, 0.9604] grad=[0.0000, 0.0000, 0.0000]
[E040] loss=0.0014 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9730, 0.9862, 0.9585] grad=[0.0000, 0.0000, 0.0000]
[E041] loss=0.0023 recon=0.0003 coll=0.9998 N=9922 train=0.3s eval=0.3s c=[0.9716, 0.9852, 0.9542] grad=[0.0000, 0.0000, 0.0000]
[E042] loss=0.0021 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9696, 0.9831, 0.9477] grad=[0.0000, 0.0000, 0.0000]
[E043] loss=0.0014 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9683, 0.9818, 0.9430] grad=[0.0000, 0.0000, 0.0000]
[E044] loss=0.0008 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9675, 0.9811, 0.9409] grad=[0.0000, 0.0000, 0.0000]
[E045] loss=0.0006 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9670, 0.9808, 0.9400] grad=[0.0000, 0.0000, 0.0000]
[E046] loss=0.0004 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9668, 0.9807, 0.9396] grad=[0.0000, 0.0000, 0.0000]
[E047] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9667, 0.9806, 0.9395] grad=[0.0000, 0.0000, 0.0000]
[E048] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9666, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E049] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9666, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E050] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9666, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E051] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9666, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E052] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9666, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E053] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9666, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E054] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9666, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E055] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9666, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E056] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9666, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E057] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E058] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E059] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E060] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E061] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E062] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E063] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E064] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, -0.0000, 0.0000]
[E065] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E066] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, -0.0000, 0.0000]
[E067] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E068] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E069] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E070] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, 0.0000]
[E071] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, -0.0000, -0.0000]
[E072] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E073] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E074] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E075] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E076] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, -0.0000, -0.0000]
[E077] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E078] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E079] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E080] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E081] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, -0.0000, -0.0000]
[E082] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E083] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, -0.0000, 0.0000]
[E084] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, -0.0000, -0.0000]
[E085] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
[E086] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, -0.0000, -0.0000]
[E087] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.3s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, -0.0000, -0.0000]
[E088] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, -0.0000, -0.0000]
[E089] loss=0.0003 recon=0.0003 coll=0.9999 N=9922 train=0.3s eval=0.2s c=[0.9665, 0.9806, 0.9394] grad=[0.0000, 0.0000, -0.0000]
