iter,mechanism_name,sids_path,item_emb_path,full_gini,gini_L0,gini_L1,gini_L2,l01_unique_pairs,h_l1_given_l0,n_unique_full,n_items,hr_50,oracle_topk_full,valid_best_recall_at_10,valid_best_ndcg_at_10,valid_best_epoch_or_ts,test_recall_at_5,test_recall_at_10,test_ndcg_at_5,test_ndcg_at_10,test_n_eval,delta_test_r10_vs_tiger
curvature_RQ-VAE,"v282 baseline promoted (Geodesic Midpoint Commit, c=1)",/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE/dataset/Instruments/item_emb.npy,0.052673755170607524,0.0721772112803514,0.15237298292797005,0.19192799421442225,15610,5.652195857148527,23243,24587,0.7165,,0.06088197914309093,0.03320445162819036,,0.039224220477376,0.059071362662999005,0.02632008313404312,0.032687120464997076,57439,0.0
curvature_RQ-VAE_iter10,iter10 gumbel softmax 强退火,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter10/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter10/dataset/Instruments/item_emb.npy,0.046179507712411604,0.10206883337739456,0.0514853822650181,0.09098542293691789,15830,5.684756461558769,23412,24587,0.7165,,0.06335416702937029,0.034631617509155346,,0.03729173558035481,0.056042062013614447,0.025005279357654578,0.03104870750415122,57439,-0.0030293006493845587
curvature_RQ-VAE_iter11,iter11 sk_eps=0.5 L0 collapse (历史最佳),/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter11/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter11/dataset/Instruments/item_emb.npy,0.1142677373485954,0.20339089477465983,0.05641843885996665,0.07892969989221947,7509,6.33275375993708,21557,24587,0.7165,,0.06619196016643744,0.036040525465973326,,0.04077369034976236,0.060168178415362386,0.02691195961369832,0.033158499196049136,57439,0.001096815752363381
curvature_RQ-VAE_iter14,iter14 L0 sk_eps=0.01 强 collapse,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter14/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter14/dataset/Instruments/item_emb.npy,0.05361433487817067,0.17522773086387114,0.04657965210273722,0.06932954279700655,15388,5.669216309594009,23218,24587,0.7165,,0.06434652413865144,0.035728139679325664,,0.03873674680965894,0.057400024373683384,0.02606445699930998,0.03207600281245455,57439,-0.0016713382893156215
curvature_RQ-VAE_iter2,iter2 sinkhorn sk_eps=0.5 复刻 baseline,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter2/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter2/dataset/Instruments/item_emb.npy,0.05130378421977809,0.07112069513360719,0.1442888073473787,0.1798195247996909,15582,5.650400080508322,23280,24587,0.7165,,0.058862445376834556,0.03222615790545695,,0.03584672435105068,0.05384843050888769,0.02344047867067431,0.029202517591223432,57439,-0.0052229321541113136
curvature_RQ-VAE_iter28,iter28 R36m density-aware radial α=0.25,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter28/dataset/Instruments/sids_for_hgrec.npy,,0.056691560571654184,0.07383903968560622,0.20850624186562006,0.2823266932220279,15191,5.592832146719418,23138,24587,0.7165,,0.06537370079562667,0.03576391108298065,,0.039694284371246016,0.0592976897230105,0.026142556459599144,0.03245120509739823,57439,0.00022632706001149416
curvature_RQ-VAE_iter3,iter3 sinkhorn sk_eps=0.1,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter3/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter3/dataset/Instruments/item_emb.npy,0.0654019203652298,0.1281172786940253,0.2901274365009965,0.2569690347032985,14630,5.54618036290016,22909,24587,0.7165,,0.061299813715419836,0.03358190473533364,,0.03622973937568551,0.05520639286895663,0.023931540375543587,0.03001530858895001,57439,-0.0038649697940423763
curvature_RQ-VAE_iter32,iter32 R36n b+f per-layer 异质 c + sk_eps,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter32/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter32/dataset/Instruments/item_emb.npy,0.050663760777715165,0.06655241463985033,0.2905392394863139,0.11281574739699841,15094,5.592077818909811,23295,24587,0.7165,,0.06586117446334372,0.036135959073284936,,0.03891084454812932,0.058322742387576385,0.02609163599797264,0.03230877588251829,57439,-0.0007486202754226207
curvature_RQ-VAE_iter33,iter33 R36-S0 per-item curvature,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter33/dataset/Instruments/sids_for_hgrec.npy,,0.03801992285395919,0.06689177080367674,0.29843594302883636,0.12626098776792613,15560,5.673523090045553,23624,24587,0.7165,,0.06427688504326329,0.03537780813203001,,0.03800553630808336,0.05790490781524748,0.025489348895853747,0.03187442486423832,57439,-0.001166454847751526
curvature_RQ-VAE_iter35,iter35 L0 sk_eps=0.30 sweep,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter35/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter35/dataset/Instruments/item_emb.npy,0.07682012309158316,0.1586794802518559,0.04886140923048766,0.07491144329320372,11553,6.032479424941102,22595,24587,0.7165,,0.06378941137554624,0.03508825242907308,,0.03861487839272968,0.057852678493706365,0.02565349389980821,0.03185082444722105,57439,-0.00121868416929264
curvature_RQ-VAE_iter36,iter36 L0 sk_eps=0.40 sweep,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter36/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter36/dataset/Instruments/item_emb.npy,0.09727040131175405,0.1706793488707419,0.05399019934314882,0.087665261367796,8768,6.290509457548803,22036,24587,0.7165,,0.06479917825867441,0.035350971849156074,,0.038876025000435244,0.05774821985062414,0.026123373596010545,0.03218804102048725,57439,-0.0013231428123748681
curvature_RQ-VAE_iter37,iter37 L0 sk_eps=0.60 sweep,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter37/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter37/dataset/Instruments/item_emb.npy,0.11187015674986277,0.22139781985282106,0.05460822157034205,0.07961476720421361,7999,6.361172176773852,21632,24587,0.7165,,0.06486881735406257,0.03569557592787558,,0.03798812653423632,0.05733038527829523,0.025337842655454565,0.03157390374397104,57439,-0.0017409773847037735
curvature_RQ-VAE_iter38,iter38 L0 sk_eps=0.70 sweep,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter38/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter38/dataset/Instruments/item_emb.npy,0.12321100309978593,0.21869192096919368,0.058248356601049336,0.07012105609671777,6592,6.412497598673861,21307,24587,0.7165,,0.0635456745416877,0.03503308604216582,,0.03776179947422483,0.05736520482598931,0.024983714615622432,0.03130384546403773,57439,-0.0017061578370096975
curvature_RQ-VAE_iter39,iter39 L1 sk_eps=0.01 sweep,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter39/dataset/Instruments/sids_for_hgrec.npy,/home/wlia0047/ar57/wenyu/GeneRec/results/stage2_RQ-VAE/curvature_RQ-VAE_iter39/dataset/Instruments/item_emb.npy,0.12409144324028115,0.1841694976449543,0.14644187604221742,0.0711635912779111,7284,6.2682550111681135,21286,24587,0.7165,,0.06723654659725971,0.036766954117940565,,0.03948536708508157,0.05912359198454012,0.026135565300601356,0.03246334245685227,57439,5.222932154111404e-05
