kappa,layer,best_c_by_distortion,best_distortion,best_c_by_spearman,best_spearman,best_c_by_kendall,best_kendall,best_c_by_nn_overlap_1,best_nn_overlap_1,best_c_by_nn_overlap_5,best_nn_overlap_5
0.01,L0,0.01,0.05106896534562111,5.0,0.621504545211792,5.0,0.4531725148954603,0.01,0.0033259422052651644,0.01,0.06792985285224754
0.01,L1,0.01,0.08574502170085907,10.0,0.13189050555229187,10.0,0.08562034403018036,0.01,0.0018141502514481544,0.01,0.02590203587986293
0.01,L2,0.01,0.0800095945596695,10.0,0.06682110577821732,10.0,0.04565802617781617,0.01,0.0009070751257240772,0.01,0.008163676678089095
0.1,L0,0.01,0.051318347454071045,5.0,0.6450127959251404,5.0,0.480128257830032,0.01,0.0027212253771722317,0.01,0.07034872001612578
0.1,L1,0.01,0.08700519055128098,10.0,0.14500115811824799,10.0,0.09810426329927824,0.01,0.002217294881120324,0.01,0.03063898407579117
0.1,L2,0.01,0.08285433053970337,10.0,0.07661542296409607,10.0,0.051794960525709775,0.01,0.00040314451325684786,0.01,0.008365248941745616
0.5,L0,0.01,0.0494069829583168,5.0,0.6452110409736633,5.0,0.46901625524383966,0.01,0.003426728304475546,0.01,0.07377544849828664
0.5,L1,0.01,0.0893024131655693,10.0,0.1471056044101715,10.0,0.10282638063693722,0.01,0.001713364152237773,0.01,0.032049989921386815
0.5,L2,0.01,0.08229517191648483,10.0,0.07052488625049591,10.0,0.04788131389028823,0.01,0.0008062890265136957,0.01,0.00937311026002822
1.0,L0,0.01,0.05008033663034439,5.0,0.649966299533844,5.0,0.4821675235091036,0.01,0.00262043927796185,0.01,0.06752670832493449
1.0,L1,0.01,0.08835369348526001,10.0,0.13454151153564453,10.0,0.09343759745594432,0.01,0.0018141502514481544,0.01,0.03043741181213465
1.0,L2,0.01,0.0828838050365448,10.0,0.07457618415355682,10.0,0.052043169495221774,0.01,0.0007055029273033142,0.01,0.009171537996371699
2.0,L0,0.01,0.051380034536123276,5.0,0.6475828289985657,5.0,0.4794413713147651,0.01,0.003628300502896309,0.01,0.0695424309614997
2.0,L1,0.01,0.08899460732936859,10.0,0.1276378631591797,10.0,0.08533855749837263,0.01,0.002217294881120324,0.01,0.028925619834710745
2.0,L2,0.01,0.07889780402183533,10.0,0.08024697750806808,10.0,0.05463211814903442,0.01,0.0006047167698852718,0.01,0.007558959887119532
5.0,L0,0.01,0.05044764280319214,10.0,0.6118887066841125,10.0,0.4484247303320934,0.01,0.0023180809803307056,0.01,0.06349526305180407
5.0,L1,0.01,0.07823378592729568,10.0,0.13022884726524353,10.0,0.08770407097014608,0.01,0.0018141502514481544,0.01,0.02539810522072163
5.0,L2,0.01,0.07651890069246292,10.0,0.05967545136809349,10.0,0.03787600775595675,0.01,0.0005039306124672294,0.01,0.00705502922797823
10.0,L0,0.01,0.05036802217364311,10.0,0.6059750318527222,10.0,0.44277966336268576,0.01,0.0023180809803307056,0.01,0.07518645434388228
10.0,L1,0.01,0.08267892152070999,10.0,0.14335253834724426,10.0,0.09864801067516228,0.01,0.00151179195381701,0.01,0.02348316871598468
10.0,L2,0.01,0.07559946924448013,10.0,0.07863125950098038,10.0,0.052432195965693276,0.01,0.0007055029273033142,0.01,0.010380971578310824
20.0,L0,0.01,0.050647757947444916,10.0,0.5768666863441467,10.0,0.4253627745908953,0.01,0.003729086834937334,0.01,0.07337230397097359
20.0,L1,0.01,0.07811538875102997,10.0,0.14635153114795685,10.0,0.0989537990282791,0.01,0.0012094335397705436,0.01,0.024188671638782504
20.0,L2,0.01,0.07328351587057114,10.0,0.07531417161226273,10.0,0.04946671480037256,0.01,0.00040314451325684786,0.01,0.008566821205402137
