metric,L0,L1,L2
mean,0.19928672909736633,0.10351859778165817,0.07987143099308014
std,0.040349557995796204,0.014700896106660366,0.010152609087526798
q05,0.13424484431743622,0.07968063652515411,0.06377676129341125
q25,0.1725941002368927,0.09347621351480484,0.07276338338851929
q50,0.1985010802745819,0.10333901643753052,0.07954101264476776
q75,0.22452600300312042,0.11336459219455719,0.08668264746665955
q95,0.26542145013809204,0.1279553771018982,0.09693370014429092
min,0.057603619992733,0.046423766762018204,0.044626377522945404
max,0.4156126081943512,0.16602908074855804,0.12377623468637466
n,32640,32640,32640
