metric,L0,L1,L2
nn_mean,0.10954834520816803,0.08090033382177353,0.06856885552406311
nn_median,0.10659308731555939,0.08150949329137802,0.06883513927459717
nn_std,0.01396291796118021,0.007801254745572805,0.0032289251685142517
nn_q05,0.08939144015312195,0.0674009919166565,0.06313815712928772
nn_q95,0.1348143070936203,0.09388821572065353,0.07334522902965546
second_nn_mean,0.1194995865225792,0.08467882871627808,0.0704004094004631
second_nn_median,0.11715556681156158,0.08531319350004196,0.07067644596099854
margin_mean,1.093076229095459,1.048044204711914,1.0269485712051392
margin_median,1.0714490413665771,1.0317635536193848,1.0200960636138916
margin_std,0.0842805802822113,0.0421735979616642,0.024082185700535774
local_density_5_mean,8.080818176269531,11.782864570617676,13.971135139465332
local_density_10_mean,7.354599952697754,11.381336212158203,13.585241317749023
