metric,L0,L1,L2
mean,0.1945512890815735,0.10595787316560745,0.08387520909309387
std,0.038540493696928024,0.014615130610764027,0.009643526747822762
q05,0.13063353300094604,0.08248952776193619,0.0691663920879364
q25,0.16868634521961212,0.09562502056360245,0.07689569890499115
q50,0.19425834715366364,0.10559820383787155,0.08335524797439575
q75,0.2198030948638916,0.1159430667757988,0.09028208255767822
q95,0.2596645951271057,0.13080213963985443,0.10065647959709167
min,0.06575078517198563,0.05955256149172783,0.05554055795073509
max,0.3342365026473999,0.16788730025291443,0.12421418726444244
n,8128,8128,8128
