kappa,layer,c,distortion
0.01,L0,0.0,0.0
0.01,L0,0.01,1.012604570860276e-06
0.01,L0,0.05,1.0658757219061954e-06
0.01,L0,0.1,1.3649979564434034e-06
0.01,L0,0.5,1.3305891116033308e-05
0.01,L0,1.0,5.337733091437258e-05
0.01,L0,2.0,0.00022669184545520693
0.01,L0,5.0,0.0017217741115018725
0.01,L0,10.0,0.010238938964903355
0.01,L1,0.0,0.0
0.01,L1,0.01,6.085560499968778e-08
0.01,L1,0.05,5.567757099811388e-08
0.01,L1,0.1,5.015647275286028e-08
0.01,L1,0.5,4.3010160766243644e-08
0.01,L1,1.0,1.2718969344405195e-07
0.01,L1,2.0,6.082446475375036e-07
0.01,L1,5.0,4.591705874190666e-06
0.01,L1,10.0,1.9977202100562863e-05
0.01,L2,0.0,0.0
0.01,L2,0.01,1.618987610640943e-08
0.01,L2,0.05,1.4794085068103868e-08
0.01,L2,0.1,1.3284720878914413e-08
0.01,L2,0.5,1.0698442132195396e-08
0.01,L2,1.0,3.118899627452265e-08
0.01,L2,2.0,1.5173010581293056e-07
0.01,L2,5.0,1.1564698070287704e-06
0.01,L2,10.0,5.0222588470205665e-06
0.1,L0,0.0,0.0
0.1,L0,0.01,1.2985235571250087e-06
0.1,L0,0.05,1.18296168238885e-06
0.1,L0,0.1,1.3351354937185533e-06
0.1,L0,0.5,1.4793272384849843e-05
0.1,L0,1.0,6.416565884137526e-05
0.1,L0,2.0,0.0002859192609321326
0.1,L0,5.0,0.0023101104889065027
0.1,L0,10.0,0.015504960902035236
0.1,L1,0.0,0.0
0.1,L1,0.01,6.477063152487972e-08
0.1,L1,0.05,5.859659779616777e-08
0.1,L1,0.1,5.2030202368769096e-08
0.1,L1,0.5,4.3897934176584386e-08
0.1,L1,1.0,1.452012128311253e-07
0.1,L1,2.0,7.222768658721179e-07
0.1,L1,5.0,5.505801709659863e-06
0.1,L1,10.0,2.404121187282726e-05
0.1,L2,0.0,0.0
0.1,L2,0.01,1.69504392744102e-08
0.1,L2,0.05,1.5493286653622818e-08
0.1,L2,0.1,1.3934689846450965e-08
0.1,L2,0.5,1.1574934788427527e-08
0.1,L2,1.0,3.395410175244251e-08
0.1,L2,2.0,1.635320074910851e-07
0.1,L2,5.0,1.2378786777844653e-06
0.1,L2,10.0,5.362527645047521e-06
0.5,L0,0.0,0.0
0.5,L0,0.01,1.3101739568810444e-06
0.5,L0,0.05,1.1696497494995128e-06
0.5,L0,0.1,1.2339601198618766e-06
0.5,L0,0.5,1.162222270068014e-05
0.5,L0,1.0,5.0648821343202144e-05
0.5,L0,2.0,0.0002254666615044698
0.5,L0,5.0,0.0017677557189017534
0.5,L0,10.0,0.010616542771458626
0.5,L1,0.0,0.0
0.5,L1,0.01,6.223314130693325e-08
0.5,L1,0.05,5.659445889705239e-08
0.5,L1,0.1,5.054115703728712e-08
0.5,L1,0.5,4.479381843225383e-08
0.5,L1,1.0,1.4424971084281424e-07
0.5,L1,2.0,7.017333132353087e-07
0.5,L1,5.0,5.297701591189252e-06
0.5,L1,10.0,2.308297553099692e-05
0.5,L2,0.0,0.0
0.5,L2,0.01,1.5132577857457363e-08
0.5,L2,0.05,1.3858352687634579e-08
0.5,L2,0.1,1.2484779432497817e-08
0.5,L2,0.5,1.0271279826667978e-08
0.5,L2,1.0,2.9570779602750008e-08
0.5,L2,2.0,1.4184165308961383e-07
0.5,L2,5.0,1.0749247394414851e-06
0.5,L2,10.0,4.660509148379788e-06
1.0,L0,0.0,0.0
1.0,L0,0.01,1.305673322349321e-06
1.0,L0,0.05,1.2210656450406532e-06
1.0,L0,0.1,1.3423770042209071e-06
1.0,L0,0.5,1.1653484762064181e-05
1.0,L0,1.0,4.9202011723537e-05
1.0,L0,2.0,0.00021610893600154668
1.0,L0,5.0,0.0016877248417586088
1.0,L0,10.0,0.01022617518901825
1.0,L1,0.0,0.0
1.0,L1,0.01,5.390754509448925e-08
1.0,L1,0.05,4.9528225076755916e-08
1.0,L1,0.1,4.483440108060677e-08
1.0,L1,0.5,3.766285061601593e-08
1.0,L1,1.0,1.0497756619542997e-07
1.0,L1,2.0,4.953552661390859e-07
1.0,L1,5.0,3.744634568647598e-06
1.0,L1,10.0,1.6299729395541362e-05
1.0,L2,0.0,0.0
1.0,L2,0.01,1.6106893596656846e-08
1.0,L2,0.05,1.4558914074314089e-08
1.0,L2,0.1,1.291920881385522e-08
1.0,L2,0.5,1.0486513879470749e-08
1.0,L2,1.0,3.4443946361761846e-08
1.0,L2,2.0,1.7274103925046802e-07
1.0,L2,5.0,1.3197909538575914e-06
1.0,L2,10.0,5.731450073653832e-06
2.0,L0,0.0,0.0
2.0,L0,0.01,1.2356904335319996e-06
2.0,L0,0.05,1.095403490580793e-06
2.0,L0,0.1,1.0229200597677846e-06
2.0,L0,0.5,4.6451859816443175e-06
2.0,L0,1.0,2.0129735275986604e-05
2.0,L0,2.0,9.084250632440671e-05
2.0,L0,5.0,0.0006947650690563023
2.0,L0,10.0,0.003746710019186139
2.0,L1,0.0,0.0
2.0,L1,0.01,4.3278532757540233e-08
2.0,L1,0.05,4.007479859069463e-08
2.0,L1,0.1,3.665254055817968e-08
2.0,L1,0.5,3.002370618787609e-08
2.0,L1,1.0,7.468380402997354e-08
2.0,L1,2.0,3.4140916227443086e-07
2.0,L1,5.0,2.580536374807707e-06
2.0,L1,10.0,1.1238641491218004e-05
2.0,L2,0.0,0.0
2.0,L2,0.01,1.1101797703361171e-08
2.0,L2,0.05,1.0131113725719842e-08
2.0,L2,0.1,9.096047470791291e-09
2.0,L2,0.5,7.436811610972427e-09
2.0,L2,1.0,2.2104806873812777e-08
2.0,L2,2.0,1.072491073728088e-07
2.0,L2,5.0,8.138931661960669e-07
2.0,L2,10.0,3.520861582728685e-06
5.0,L0,0.0,0.0
5.0,L0,0.01,8.720218147573178e-07
5.0,L0,0.05,7.547206450908561e-07
5.0,L0,0.1,6.883821583869576e-07
5.0,L0,0.5,3.4279742067155894e-06
5.0,L0,1.0,1.5297469872166403e-05
5.0,L0,2.0,6.90874076099135e-05
5.0,L0,5.0,0.0005128264892846346
5.0,L0,10.0,0.0025795341935008764
5.0,L1,0.0,0.0
5.0,L1,0.01,4.450830104474335e-08
5.0,L1,0.05,4.103989681425446e-08
5.0,L1,0.1,3.726468378317804e-08
5.0,L1,0.5,3.139001947261022e-08
5.0,L1,1.0,8.480260760279634e-08
5.0,L1,2.0,3.956228056267719e-07
5.0,L1,5.0,2.984325192301185e-06
5.0,L1,10.0,1.2990458344575018e-05
5.0,L2,0.0,0.0
5.0,L2,0.01,1.3494349637710457e-08
5.0,L2,0.05,1.2299025797801733e-08
5.0,L2,0.1,1.1013052692021574e-08
5.0,L2,0.5,9.327658645474912e-09
5.0,L2,1.0,2.8692522135997933e-08
5.0,L2,2.0,1.393614184053149e-07
5.0,L2,5.0,1.053330379363615e-06
5.0,L2,10.0,4.559989520203089e-06
10.0,L0,0.0,0.0
10.0,L0,0.01,5.872602741874289e-07
10.0,L0,0.05,5.121669914842641e-07
10.0,L0,0.1,4.5145239369048795e-07
10.0,L0,0.5,1.3087312709103571e-06
10.0,L0,1.0,5.81315816816641e-06
10.0,L0,2.0,2.679205863387324e-05
10.0,L0,5.0,0.00019651038746815175
10.0,L0,10.0,0.0009252488380298018
10.0,L1,0.0,0.0
10.0,L1,0.01,3.9698203835314416e-08
10.0,L1,0.05,3.586771057939586e-08
10.0,L1,0.1,3.1746434814294844e-08
10.0,L1,0.5,2.532519260967092e-08
10.0,L1,1.0,8.379917915135593e-08
