kappa,layer,distortion_self
0.01,L0,1.012604570860276e-06
0.01,L1,6.085560499968778e-08
0.01,L2,1.618987610640943e-08
0.1,L0,1.3351354937185533e-06
0.1,L1,5.2030202368769096e-08
0.1,L2,1.3934689846450965e-08
0.5,L0,1.162222270068014e-05
0.5,L1,4.479381843225383e-08
0.5,L2,1.0271279826667978e-08
1.0,L0,4.9202011723537e-05
1.0,L1,1.0497756619542997e-07
1.0,L2,3.4443946361761846e-08
2.0,L0,9.084250632440671e-05
2.0,L1,3.4140916227443086e-07
2.0,L2,1.072491073728088e-07
5.0,L0,0.0005128264892846346
5.0,L1,2.984325192301185e-06
5.0,L2,1.053330379363615e-06
10.0,L0,0.0009252488380298018
10.0,L1,1.4305713193607517e-05
10.0,L2,2.8340368771750946e-06
20.0,L0,0.00135247060097754
20.0,L1,2.8527210815809667e-05
20.0,L2,9.228676390193868e-06
