layer,c,k,spearman,kNN_overlap,trustworthiness
L0,0.0,5,0.706713,0.640625,0.640625
L0,0.0,10,0.706713,0.692187,0.692187
L0,0.01,5,0.706706,0.640625,0.640625
L0,0.01,10,0.706706,0.692187,0.692187
L0,0.05,5,0.706666,0.640625,0.640625
L0,0.05,10,0.706666,0.692187,0.692187
L0,0.1,5,0.706619,0.640625,0.640625
L0,0.1,10,0.706619,0.691406,0.691406
L0,0.5,5,0.706195,0.639062,0.639062
L0,0.5,10,0.706195,0.690625,0.690625
L0,1.0,5,0.705671,0.639062,0.639062
L0,1.0,10,0.705671,0.692969,0.692969
L0,2.0,5,0.704507,0.637500,0.637500
L0,2.0,10,0.704507,0.691406,0.691406
L0,5.0,5,0.700658,0.640625,0.640625
L0,5.0,10,0.700658,0.693750,0.693750
L0,10.0,5,0.693528,0.650000,0.650000
L0,10.0,10,0.693528,0.688281,0.688281
L1,0.0,5,0.592198,0.331250,0.331250
L1,0.0,10,0.592198,0.413281,0.413281
L1,0.01,5,0.592223,0.331250,0.331250
L1,0.01,10,0.592223,0.413281,0.413281
L1,0.05,5,0.592313,0.331250,0.331250
L1,0.05,10,0.592313,0.413281,0.413281
L1,0.1,5,0.592425,0.331250,0.331250
L1,0.1,10,0.592425,0.413281,0.413281
L1,0.5,5,0.593289,0.331250,0.331250
L1,0.5,10,0.593289,0.413281,0.413281
L1,1.0,5,0.594363,0.332813,0.332813
L1,1.0,10,0.594363,0.414062,0.414062
L1,2.0,5,0.596469,0.334375,0.334375
L1,2.0,10,0.596469,0.414844,0.414844
L1,5.0,5,0.602578,0.343750,0.343750
L1,5.0,10,0.602578,0.418750,0.418750
L1,10.0,5,0.612298,0.354688,0.354688
L1,10.0,10,0.612298,0.424219,0.424219
L2,0.0,5,0.504827,0.225000,0.225000
L2,0.0,10,0.504827,0.321875,0.321875
L2,0.01,5,0.504840,0.225000,0.225000
L2,0.01,10,0.504840,0.321875,0.321875
L2,0.05,5,0.504898,0.225000,0.225000
L2,0.05,10,0.504898,0.321875,0.321875
L2,0.1,5,0.504969,0.225000,0.225000
L2,0.1,10,0.504969,0.321875,0.321875
L2,0.5,5,0.505516,0.225000,0.225000
L2,0.5,10,0.505516,0.321094,0.321094
L2,1.0,5,0.506181,0.225000,0.225000
L2,1.0,10,0.506181,0.321094,0.321094
L2,2.0,5,0.507542,0.226563,0.226563
L2,2.0,10,0.507542,0.321875,0.321875
L2,5.0,5,0.511573,0.229688,0.229688
L2,5.0,10,0.511573,0.321875,0.321875
L2,10.0,5,0.518195,0.235938,0.235938
L2,10.0,10,0.518195,0.321875,0.321875
