sample_id,history_len,target_sid,target_rank,exact_hit,prefix_hit,first_err_pos,legal_top20
0,0,"[7, 24, 162, 0]",-1,0,0,0,1
1,0,"[28, 104, 59, 0]",-1,0,0,0,1
2,0,"[43, 59, 86, 0]",-1,0,0,0,1
3,0,"[62, 78, 49, 0]",-1,0,0,0,1
4,0,"[24, 12, 208, 0]",-1,0,0,0,1
5,0,"[30, 58, 100, 0]",-1,0,0,0,1
6,0,"[14, 89, 214, 0]",-1,0,0,0,1
7,0,"[43, 20, 78, 0]",-1,0,0,0,1
8,0,"[16, 44, 181, 0]",-1,0,0,0,1
9,0,"[56, 8, 11, 0]",-1,0,0,0,1
10,0,"[44, 29, 108, 0]",-1,0,0,0,1
11,0,"[18, 48, 152, 0]",-1,0,0,0,1
12,0,"[34, 45, 178, 0]",-1,0,0,0,1
13,0,"[61, 108, 117, 0]",-1,0,0,0,1
14,0,"[38, 112, 179, 0]",-1,0,0,0,1
15,0,"[19, 38, 28, 0]",-1,0,0,0,1
16,0,"[1, 123, 38, 0]",-1,0,0,0,1
17,0,"[11, 2, 175, 0]",-1,0,0,0,1
18,0,"[16, 102, 36, 0]",-1,0,0,0,1
19,0,"[48, 66, 40, 0]",-1,0,0,0,1
20,0,"[25, 85, 164, 0]",-1,0,0,0,1
21,0,"[62, 18, 85, 0]",-1,0,0,0,1
22,0,"[42, 46, 222, 0]",-1,0,0,0,1
23,0,"[11, 121, 183, 0]",-1,0,0,0,1
24,0,"[45, 106, 247, 0]",-1,0,0,0,1
25,0,"[41, 22, 17, 0]",-1,0,0,0,1
26,0,"[28, 115, 81, 0]",-1,0,0,0,1
27,0,"[26, 124, 19, 0]",-1,0,0,0,1
28,0,"[10, 31, 9, 0]",-1,0,0,0,1
29,0,"[61, 46, 189, 0]",-1,0,0,0,1
30,0,"[38, 82, 162, 0]",-1,0,0,0,1
31,0,"[11, 70, 192, 0]",-1,0,0,0,1
32,0,"[30, 13, 234, 0]",-1,0,0,0,1
33,0,"[10, 108, 199, 0]",-1,0,0,0,1
34,0,"[25, 85, 13, 0]",-1,0,0,0,1
35,0,"[62, 54, 229, 0]",-1,0,0,0,1
36,0,"[49, 71, 59, 0]",-1,0,0,0,1
37,0,"[34, 27, 118, 0]",-1,0,0,0,1
38,0,"[22, 51, 131, 0]",-1,0,0,0,1
39,0,"[62, 53, 246, 0]",-1,0,0,0,1
40,0,"[29, 27, 134, 0]",-1,0,0,0,1
41,0,"[7, 50, 234, 0]",-1,0,0,0,1
42,0,"[49, 118, 129, 0]",-1,0,0,0,1
43,0,"[4, 46, 59, 0]",-1,0,0,0,1
44,0,"[7, 108, 218, 0]",-1,0,0,0,1
45,0,"[33, 13, 195, 0]",-1,0,0,0,1
46,0,"[8, 60, 33, 0]",-1,0,0,0,1
47,0,"[39, 0, 141, 0]",-1,0,0,0,1
48,0,"[33, 85, 48, 0]",-1,0,0,0,1
49,0,"[33, 86, 48, 0]",-1,0,0,0,1
50,0,"[6, 78, 180, 0]",-1,0,0,0,1
51,0,"[20, 74, 223, 0]",-1,0,0,0,1
52,0,"[17, 124, 105, 0]",-1,0,0,0,1
53,0,"[61, 106, 77, 0]",-1,0,0,0,1
54,0,"[22, 54, 162, 0]",-1,0,0,0,1
55,0,"[16, 61, 127, 0]",-1,0,0,0,1
56,0,"[9, 5, 127, 0]",-1,0,0,0,1
57,0,"[58, 116, 76, 0]",-1,0,0,0,1
58,0,"[27, 87, 28, 0]",-1,0,0,0,1
59,0,"[46, 17, 63, 0]",-1,0,0,0,1
60,0,"[23, 71, 19, 0]",-1,0,0,0,1
61,0,"[43, 89, 124, 0]",-1,0,0,0,1
62,0,"[52, 46, 43, 0]",-1,0,0,0,1
63,0,"[52, 116, 186, 0]",-1,0,0,0,1
64,0,"[0, 103, 74, 0]",-1,0,0,1,1
65,0,"[61, 108, 117, 0]",-1,0,0,0,1
66,0,"[52, 36, 127, 0]",-1,0,0,0,1
67,0,"[13, 43, 42, 0]",-1,0,0,0,1
68,0,"[61, 88, 135, 0]",-1,0,0,0,1
69,0,"[16, 19, 83, 0]",-1,0,0,0,1
70,0,"[4, 64, 13, 0]",-1,0,0,0,1
71,0,"[39, 49, 179, 0]",-1,0,0,0,1
72,0,"[30, 89, 163, 0]",-1,0,0,0,1
73,0,"[55, 84, 175, 0]",-1,0,0,0,1
74,0,"[58, 124, 228, 0]",-1,0,0,0,1
75,0,"[4, 6, 158, 0]",-1,0,0,0,1
76,0,"[56, 27, 212, 0]",-1,0,0,0,1
77,0,"[54, 33, 159, 0]",-1,0,0,0,1
78,0,"[38, 84, 64, 0]",-1,0,0,0,1
79,0,"[56, 18, 61, 0]",-1,0,0,0,1
80,0,"[17, 78, 148, 0]",-1,0,0,0,1
81,0,"[4, 6, 36, 0]",-1,0,0,0,1
82,0,"[13, 51, 105, 0]",-1,0,0,0,1
83,0,"[38, 98, 154, 0]",-1,0,0,0,1
84,0,"[11, 11, 237, 0]",-1,0,0,0,1
85,0,"[50, 123, 116, 0]",-1,0,0,0,1
86,0,"[13, 46, 112, 0]",-1,0,0,0,1
87,0,"[25, 85, 13, 0]",-1,0,0,0,1
88,0,"[6, 53, 43, 0]",-1,0,0,0,1
89,0,"[45, 26, 154, 0]",-1,0,0,0,1
90,0,"[0, 66, 246, 0]",-1,0,0,1,1
91,0,"[13, 17, 198, 0]",-1,0,0,0,1
92,0,"[52, 38, 10, 0]",-1,0,0,0,1
93,0,"[53, 107, 247, 0]",-1,0,0,0,1
94,0,"[39, 42, 4, 0]",-1,0,0,0,1
95,0,"[20, 40, 253, 0]",-1,0,0,0,1
96,0,"[37, 53, 193, 0]",-1,0,0,0,1
97,0,"[38, 54, 58, 0]",-1,0,0,0,1
98,0,"[20, 100, 149, 0]",-1,0,0,0,1
99,0,"[20, 61, 1, 0]",-1,0,0,0,1
100,0,"[24, 16, 103, 0]",-1,0,0,0,1
101,0,"[16, 26, 27, 0]",-1,0,0,0,1
102,0,"[61, 14, 233, 0]",-1,0,0,0,1
103,0,"[38, 74, 2, 0]",-1,0,0,0,1
104,0,"[53, 58, 10, 0]",-1,0,0,0,1
105,0,"[52, 116, 225, 0]",-1,0,0,0,1
106,0,"[6, 69, 187, 0]",-1,0,0,0,1
107,0,"[51, 92, 93, 0]",-1,0,0,0,1
108,0,"[53, 63, 212, 0]",-1,0,0,0,1
109,0,"[41, 111, 14, 0]",-1,0,0,0,1
110,0,"[41, 68, 113, 0]",-1,0,0,0,1
111,0,"[4, 87, 230, 0]",-1,0,0,0,1
112,0,"[6, 122, 90, 0]",-1,0,0,0,1
113,0,"[46, 59, 147, 0]",-1,0,0,0,1
114,0,"[44, 29, 108, 0]",-1,0,0,0,1
115,0,"[18, 78, 23, 0]",-1,0,0,0,1
116,0,"[7, 26, 175, 0]",-1,0,0,0,1
117,0,"[16, 26, 135, 0]",-1,0,0,0,1
118,0,"[16, 34, 87, 0]",-1,0,0,0,1
119,0,"[38, 76, 48, 0]",-1,0,0,0,1
120,0,"[38, 74, 151, 0]",-1,0,0,0,1
121,0,"[36, 14, 219, 0]",-1,0,0,0,1
122,0,"[38, 87, 252, 0]",-1,0,0,0,1
123,0,"[36, 118, 157, 0]",-1,0,0,0,1
124,0,"[33, 86, 228, 0]",-1,0,0,0,1
125,0,"[49, 63, 150, 0]",-1,0,0,0,1
126,0,"[29, 120, 142, 0]",-1,0,0,0,1
127,0,"[42, 95, 122, 0]",-1,0,0,0,1
128,0,"[17, 88, 81, 0]",-1,0,0,0,1
129,0,"[36, 113, 217, 0]",-1,0,0,0,1
130,0,"[13, 2, 154, 0]",-1,0,0,0,1
131,0,"[3, 10, 49, 0]",-1,0,0,0,1
132,0,"[24, 82, 236, 0]",-1,0,0,0,1
133,0,"[53, 64, 228, 0]",-1,0,0,0,1
134,0,"[44, 27, 171, 0]",-1,0,0,0,1
135,0,"[48, 122, 156, 0]",-1,0,0,0,1
