item_id,sid_L0,sid_L1,sid_L2,sid_L3,L0_freq,L1_freq,L2_freq,L3_freq,L2_uniqueness,item_knn_mean_dist,item_popularity,text_emb_norm
0,20,119,118,0,156,74,47,9894,1.0,0.0,0,0.5469962954521179
1,55,119,58,0,110,64,46,21,1.0,0.0,0,0.5494477152824402
2,61,14,233,0,112,89,32,4,1.0,0.0,0,0.536129355430603
3,19,78,199,0,199,72,53,1,1.0,0.0,0,0.5426928400993347
4,10,94,222,0,243,62,46,1,1.0,0.0,0,0.5520009398460388
5,55,16,52,0,246,78,40,1,1.0,0.0,0,0.5198313593864441
6,7,91,105,0,132,75,33,0,1.0,0.0,0,0.5284050703048706
7,27,86,60,0,140,68,42,0,1.0,0.0,0,0.5003155469894409
8,6,76,123,0,125,48,35,0,1.0,0.0,0,0.5532101392745972
9,6,89,33,0,191,81,42,0,1.0,0.0,0,0.5449115633964539
10,61,56,71,0,203,92,40,0,1.0,0.0,0,0.5726128220558167
11,38,31,92,0,150,70,38,0,1.0,0.0,0,0.535104513168335
12,56,14,200,0,101,78,36,0,1.0,0.0,0,0.4817950427532196
13,56,6,62,0,237,76,31,0,1.0,0.0,0,0.5356655716896057
14,13,39,169,0,223,69,33,0,1.0,0.0,0,0.4751420319080353
15,36,76,198,0,137,94,42,0,1.0,0.0,0,0.42701250314712524
16,21,67,242,0,200,86,30,0,1.0,0.0,0,0.4887723922729492
17,7,89,29,0,134,77,35,0,1.0,0.0,0,0.5586814880371094
18,2,12,3,0,112,77,32,0,1.0,0.0,0,0.4661901295185089
19,7,24,162,0,138,71,43,0,1.0,0.0,0,0.526343822479248
20,10,31,9,0,124,76,34,0,1.0,0.0,0,0.5400435328483582
21,8,103,170,0,85,52,43,0,1.0,0.0,0,0.512148916721344
22,47,12,79,0,122,92,36,0,1.0,0.0,0,0.4679698944091797
23,61,41,186,0,142,84,43,0,1.0,0.0,0,0.5360513925552368
24,57,59,170,0,195,72,39,0,1.0,0.0,0,0.45249417424201965
25,10,67,222,0,111,61,32,0,1.0,0.0,0,0.5083474516868591
26,53,63,212,0,101,74,41,0,1.0,0.0,0,0.5148714780807495
27,2,75,220,0,109,110,50,0,1.0,0.0,0,0.45833268761634827
28,11,71,251,0,140,66,51,0,1.0,0.0,0,0.46279099583625793
29,7,4,55,0,115,137,35,0,1.0,0.0,0,0.5766704678535461
30,33,86,48,0,117,81,41,0,1.0,0.0,0,0.5180407166481018
31,55,100,93,0,140,80,28,0,1.0,0.0,0,0.5342211127281189
32,2,102,7,0,133,74,24,0,1.0,0.0,0,0.5053145289421082
33,7,95,82,0,159,93,27,0,1.0,0.0,0,0.4901483952999115
34,53,78,237,0,211,92,40,0,1.0,0.0,0,0.5261288285255432
35,28,104,59,0,143,66,30,0,1.0,0.0,0,0.5363073348999023
36,9,73,202,0,181,72,49,0,1.0,0.0,0,0.5293973088264465
37,24,61,118,0,132,73,33,0,1.0,0.0,0,0.4423794746398926
38,53,5,238,0,213,73,35,0,1.0,0.0,0,0.5202819108963013
39,13,110,20,0,161,42,32,0,1.0,0.0,0,0.45804691314697266
40,43,124,79,0,76,65,30,0,1.0,0.0,0,0.519853413105011
41,43,59,86,0,121,66,29,0,1.0,0.0,0,0.5519992709159851
42,29,2,220,0,230,79,50,0,1.0,0.0,0,0.45183682441711426
43,47,11,28,0,192,56,42,0,1.0,0.0,0,0.547124445438385
44,7,68,62,0,137,69,38,0,1.0,0.0,0,0.5030051469802856
45,9,49,163,0,110,71,34,0,1.0,0.0,0,0.5639287233352661
46,61,72,210,0,187,90,37,0,1.0,0.0,0,0.4839355945587158
