sample_idx,canary_exact,stage4_exact,canary_prefix3,stage4_prefix3,canary_first1,stage4_first1,canary_last1,stage4_last1,canary_top1_eq,stage4_top1_eq,canary_rank,stage4_rank
0,0,0,0,0,0,0,1,1,0,0,21,21
1,0,0,0,0,0,1,1,1,0,0,21,21
2,0,0,0,0,0,0,1,1,0,0,21,21
3,0,0,0,0,0,1,1,1,0,0,21,21
4,0,0,0,0,0,1,1,1,0,0,21,21
5,0,0,0,0,0,0,1,1,0,0,21,21
6,0,0,0,0,0,0,1,1,0,0,21,21
7,0,0,0,0,0,0,1,1,0,0,21,21
8,0,0,0,0,0,1,1,1,0,0,21,21
9,0,0,0,0,0,0,1,1,0,0,21,21
10,0,0,0,0,0,0,1,1,0,0,21,21
11,0,0,0,0,0,1,1,1,0,0,21,21
12,0,0,0,0,0,0,1,1,0,0,21,21
13,0,0,0,0,0,1,1,1,0,0,21,21
14,0,0,0,0,0,1,1,1,0,0,21,21
15,0,0,0,0,0,1,1,1,0,0,21,21
16,0,1,0,1,0,1,1,1,0,1,21,1
17,0,0,0,0,0,0,1,1,0,0,21,21
18,0,0,0,0,0,0,1,1,0,0,21,21
19,0,0,0,0,0,1,1,1,0,0,21,21
20,0,0,0,0,0,0,1,1,0,0,21,21
21,0,0,0,0,0,0,1,1,0,0,21,21
22,0,0,0,0,0,0,1,1,0,0,21,21
23,0,0,0,0,0,0,1,1,0,0,21,21
24,0,0,0,0,0,1,1,1,0,0,21,21
25,0,0,0,0,0,1,1,1,0,0,21,21
26,0,0,0,0,0,1,1,1,0,0,21,21
27,0,0,0,0,0,1,1,1,0,0,21,21
28,0,1,0,1,0,1,1,1,0,0,21,11
29,0,1,0,1,0,1,1,1,0,0,21,9
30,0,0,0,0,0,0,1,1,0,0,21,21
31,0,0,0,0,0,0,1,1,0,0,21,21
32,0,0,0,0,0,1,1,1,0,0,21,21
33,0,0,0,0,0,1,1,1,0,0,21,21
34,0,0,0,0,0,1,1,1,0,0,21,21
35,0,0,0,0,0,0,1,1,0,0,21,21
36,0,0,0,0,0,1,1,1,0,0,21,21
37,0,0,0,0,0,1,1,1,0,0,21,21
38,0,0,0,0,0,1,1,1,0,0,21,21
39,0,0,0,0,0,0,1,1,0,0,21,21
40,0,0,0,0,0,1,1,1,0,0,21,21
41,0,0,0,0,0,0,1,1,0,0,21,21
42,0,0,0,0,0,1,1,1,0,0,21,21
43,0,1,0,1,0,1,1,1,0,0,21,8
44,0,0,0,0,0,0,1,1,0,0,21,21
45,0,0,0,0,0,0,1,1,0,0,21,21
46,0,0,0,0,0,0,1,1,0,0,21,21
47,0,0,0,0,0,1,1,1,0,0,21,21
48,0,0,0,0,0,1,1,1,0,0,21,21
49,0,1,0,1,0,1,1,1,0,1,21,1
50,0,0,0,0,0,0,1,1,0,0,21,21
51,0,0,0,0,0,0,1,1,0,0,21,21
52,0,0,0,0,0,0,1,1,0,0,21,21
53,0,0,0,0,0,1,1,1,0,0,21,21
54,0,0,0,0,0,0,1,1,0,0,21,21
55,0,0,0,0,0,1,1,1,0,0,21,21
56,0,0,0,0,0,1,1,1,0,0,21,21
57,0,0,0,0,0,1,1,1,0,0,21,21
58,0,0,0,0,0,0,1,1,0,0,21,21
59,0,0,0,0,0,1,1,1,0,0,21,21
60,0,0,0,0,0,0,1,1,0,0,21,21
61,0,0,0,0,0,0,1,1,0,0,21,21
62,0,0,0,0,0,1,1,1,0,0,21,21
63,0,0,0,0,0,0,1,1,0,0,21,21
64,0,0,0,0,1,0,1,1,0,0,21,21
65,0,0,0,0,0,1,1,1,0,0,21,21
66,0,0,0,0,0,0,1,1,0,0,21,21
67,0,0,0,0,0,1,1,1,0,0,21,21
68,0,0,0,0,0,0,1,1,0,0,21,21
69,0,1,0,1,0,1,1,1,0,1,21,1
70,0,0,0,0,0,0,1,1,0,0,21,21
71,0,0,0,0,0,1,1,1,0,0,21,21
72,0,1,0,1,0,1,1,1,0,0,21,6
73,0,0,0,0,0,0,1,1,0,0,21,21
74,0,0,0,0,0,1,1,1,0,0,21,21
75,0,0,0,0,0,1,1,1,0,0,21,21
76,0,0,0,0,0,1,1,1,0,0,21,21
77,0,0,0,0,0,1,1,1,0,0,21,21
78,0,0,0,0,0,1,1,1,0,0,21,21
79,0,0,0,0,0,0,1,1,0,0,21,21
80,0,0,0,0,0,1,1,1,0,0,21,21
81,0,0,0,0,0,1,1,1,0,0,21,21
82,0,0,0,0,0,0,1,1,0,0,21,21
83,0,0,0,0,0,1,1,1,0,0,21,21
