sample_idx,target_item,hit_top20,sid_L0,sid_L1,sid_L2,sid_L3,L0_freq,L1_freq,L2_freq,L3_freq,L2_uniqueness,item_knn_mean_dist,item_popularity,text_emb_norm
0,19,0,7,24,162,0,138,71,43,0,1.0,0.0,0,0.526343822479248
1,35,0,28,104,59,0,143,66,30,0,1.0,0.0,0,0.5363073348999023
2,41,0,43,59,86,0,121,66,29,0,1.0,0.0,0,0.5519992709159851
3,57,0,62,78,49,0,103,60,31,0,1.0,0.0,0,0.5591161847114563
4,61,0,24,12,208,0,197,93,32,0,1.0,0.0,0,0.5365085005760193
5,71,0,30,58,100,0,0,92,18,0,1.0,0.0,0,0.43048039078712463
6,77,0,14,89,214,0,0,79,32,0,1.0,0.0,0,0.4984358251094818
7,88,0,43,20,78,0,0,98,50,0,1.0,0.0,0,0.5297351479530334
8,92,0,16,44,181,0,0,94,37,0,1.0,0.0,0,0.46681833267211914
9,113,0,56,8,11,0,0,71,43,0,1.0,0.0,0,0.5348871350288391
10,121,0,44,29,108,0,0,47,40,0,1.0,0.0,0,0.5015369057655334
11,129,0,18,48,152,0,0,0,47,0,1.0,0.0,0,0.5247179865837097
12,139,0,34,45,178,0,0,0,29,0,1.0,0.0,0,0.45542198419570923
13,148,0,61,108,117,0,0,0,41,0,1.0,0.0,0,0.4602101743221283
14,159,0,38,112,179,0,0,0,28,0,1.0,0.0,0,0.5279632806777954
15,172,0,19,38,28,0,0,0,50,0,1.0,0.0,0,0.5081727504730225
16,163,1,1,123,38,0,0,0,43,0,1.0,0.0,0,0.5476931929588318
17,183,0,11,2,175,0,0,0,36,0,1.0,0.0,0,0.4917526841163635
18,64,0,16,102,36,0,0,95,46,0,1.0,0.0,0,0.49867212772369385
19,226,0,48,66,40,0,0,0,34,0,1.0,0.0,0,0.48891115188598633
20,237,0,25,85,164,0,0,0,33,0,1.0,0.0,0,0.5686653852462769
21,243,0,62,18,85,0,0,0,37,0,1.0,0.0,0,0.5968344211578369
22,249,0,42,46,222,0,0,0,33,0,1.0,0.0,0,0.5369776487350464
23,260,0,11,121,183,0,0,0,0,0,1.0,0.0,0,0.5057056546211243
24,265,0,45,106,247,0,0,0,0,0,1.0,0.0,0,0.47438928484916687
25,291,0,41,22,17,0,0,0,0,0,1.0,0.0,0,0.46475115418434143
26,308,0,28,115,81,0,0,0,0,0,1.0,0.0,0,0.45844876766204834
27,314,0,26,124,19,0,0,0,0,0,1.0,0.0,0,0.46791741251945496
28,20,1,10,31,9,0,124,76,34,0,1.0,0.0,0,0.5400435328483582
29,321,1,61,46,189,0,0,0,0,0,1.0,0.0,0,0.5061916708946228
30,331,0,38,82,162,0,0,0,0,0,1.0,0.0,0,0.4606319069862366
31,336,0,11,70,192,0,0,0,0,0,1.0,0.0,0,0.47325003147125244
32,342,0,30,13,234,0,0,0,0,0,1.0,0.371848182666627,0,0.508861243724823
33,348,0,10,108,199,0,0,0,0,0,1.0,0.0,0,0.5071305632591248
34,353,0,25,85,13,0,0,0,0,0,1.0,0.0,0,0.5230502486228943
35,362,0,62,54,229,0,0,0,0,0,1.0,0.0,0,0.48971396684646606
36,417,0,49,71,59,0,0,0,0,0,1.0,0.0,0,0.5012210011482239
37,422,0,34,27,118,0,0,0,0,0,1.0,0.0,0,0.4190227687358856
38,428,0,22,51,131,0,0,0,0,0,1.0,0.38628054994705296,0,0.523172914981842
39,432,0,62,53,246,0,0,0,0,0,1.0,0.0,0,0.5011812448501587
40,142,0,29,27,134,0,0,0,38,0,1.0,0.0,0,0.4087594747543335
41,455,0,7,50,234,0,0,0,0,0,1.0,0.0,0,0.559228777885437
42,458,0,49,118,129,0,0,0,0,0,1.0,0.0,0,0.4998094439506531
43,69,1,4,46,59,0,0,102,39,0,1.0,0.0,0,0.509041428565979
44,466,0,7,108,218,0,0,0,0,0,1.0,0.0,0,0.4846665859222412
45,468,0,33,13,195,0,0,0,0,0,1.0,0.0,0,0.5283809304237366
46,476,0,8,60,33,0,0,0,0,0,1.0,0.0,0,0.49096250534057617
47,479,0,39,0,141,0,0,0,0,0,1.0,0.0,0,0.4701179563999176
48,483,0,33,85,48,0,0,0,0,0,1.0,0.0,0,0.4838178753852844
49,30,1,33,86,48,0,117,81,41,0,1.0,0.0,0,0.5180407166481018
50,496,0,6,78,180,0,0,0,0,0,1.0,0.0,0,0.5311561226844788
51,500,0,20,74,223,0,0,0,0,0,1.0,0.0,0,0.5122117400169373
52,524,0,17,124,105,0,0,0,0,0,1.0,0.0,0,0.5188916325569153
53,535,0,61,106,77,0,0,0,0,0,1.0,0.0,0,0.5300269722938538
54,547,0,22,54,162,0,0,0,0,0,1.0,0.0,0,0.4750077426433563
55,556,0,16,61,127,0,0,0,0,0,1.0,0.0,0,0.4576195180416107
56,560,0,9,5,127,0,0,0,0,0,1.0,0.0,0,0.5111899971961975
57,473,0,58,116,76,0,0,0,0,0,1.0,0.0,0,0.4460706114768982
58,570,0,27,87,28,0,0,0,0,0,1.0,0.0,0,0.5412044525146484
59,573,0,46,17,63,0,0,0,0,0,1.0,0.0,0,0.4828781187534332
60,581,0,23,71,19,0,0,0,0,0,1.0,0.0,0,0.49710631370544434
61,358,0,43,89,124,0,0,0,0,0,1.0,0.0,0,0.5481549501419067
62,610,0,52,46,43,0,0,0,0,0,1.0,0.0,0,0.5157179832458496
63,616,0,52,116,186,0,0,0,0,0,1.0,0.0,0,0.4952594041824341
64,626,0,0,103,74,0,0,0,0,0,1.0,0.0,0,0.4499151110649109
65,148,0,61,108,117,0,0,0,41,0,1.0,0.0,0,0.4602101743221283
66,635,0,52,36,127,0,0,0,0,0,1.0,0.0,0,0.5056703090667725
67,641,0,13,43,42,0,0,0,0,0,1.0,0.0,0,0.47085535526275635
68,647,0,61,88,135,0,0,0,0,0,1.0,0.0,0,0.45555436611175537
69,105,1,16,19,83,0,0,69,40,0,1.0,0.0,0,0.5180975198745728
70,258,0,4,64,13,0,0,0,0,0,1.0,0.0,0,0.5340192317962646
71,661,0,39,49,179,0,0,0,0,0,1.0,0.0,0,0.49325528740882874
72,666,1,30,89,163,0,0,0,0,0,1.0,0.0,0,0.4718708395957947
73,672,0,55,84,175,0,0,0,0,0,1.0,0.0,0,0.5493224859237671
74,678,0,58,124,228,0,0,0,0,0,1.0,0.0,0,0.44318529963493347
75,684,0,4,6,158,0,0,0,0,0,1.0,0.0,0,0.445848673582077
76,693,0,56,27,212,0,0,0,0,0,1.0,0.0,0,0.4894430935382843
77,703,0,54,33,159,0,0,0,0,0,1.0,0.0,0,0.49321356415748596
78,160,0,38,84,64,0,0,0,40,0,1.0,0.0,0,0.4865852892398834
79,715,0,56,18,61,0,0,0,0,0,1.0,0.0,0,0.44437626004219055
80,721,0,17,78,148,0,0,0,0,0,1.0,0.0,0,0.5828371047973633
81,726,0,4,6,36,0,0,0,0,0,1.0,0.0,0,0.5019961595535278
82,733,0,13,51,105,0,0,0,0,0,1.0,0.0,0,0.4563992917537689
83,798,0,38,98,154,0,0,0,0,0,1.0,0.0,0,0.5101867914199829
84,838,0,11,11,237,0,0,0,0,0,1.0,0.0,0,0.4995326101779938
85,843,0,50,123,116,0,0,0,0,0,1.0,0.0,0,0.5282152891159058
86,420,0,13,46,112,0,0,0,0,0,1.0,0.0,0,0.4250522255897522
87,353,0,25,85,13,0,0,0,0,0,1.0,0.0,0,0.5230502486228943
88,858,0,6,53,43,0,0,0,0,0,1.0,0.0,0,0.4931013882160187
89,862,0,45,26,154,0,0,0,0,0,1.0,0.0,0,0.43068745732307434
90,867,0,0,66,246,0,0,0,0,0,1.0,0.2915458126520873,0,0.46242329478263855
91,879,0,13,17,198,0,0,0,0,0,1.0,0.0,0,0.48133260011672974
92,108,1,52,38,10,0,0,61,29,0,1.0,0.0,0,0.450893759727478
93,889,0,53,107,247,0,0,0,0,0,1.0,0.0,0,0.5122566819190979
94,180,0,39,42,4,0,0,0,32,0,1.0,0.0,0,0.5106080770492554
95,846,0,20,40,253,0,0,0,0,0,1.0,0.0,0,0.5555397868156433
96,944,0,37,53,193,0,0,0,0,0,1.0,0.0,0,0.4821999967098236
97,754,0,38,54,58,0,0,0,0,0,1.0,0.0,0,0.4661361575126648
98,459,0,20,100,149,0,0,0,0,0,1.0,0.0,0,0.5847338438034058
99,961,0,20,61,1,0,0,0,0,0,1.0,0.0,0,0.494709849357605
100,971,0,24,16,103,0,0,0,0,0,1.0,0.0,0,0.5685492157936096
101,980,0,16,26,27,0,0,0,0,0,1.0,0.0,0,0.4846341907978058
102,2,0,61,14,233,0,112,89,32,4,1.0,0.0,0,0.536129355430603
103,161,1,38,74,2,0,0,0,37,0,1.0,0.0,0,0.4813917577266693
104,1036,0,53,58,10,0,0,0,0,0,1.0,0.0,0,0.48188456892967224
105,1048,0,52,116,225,0,0,0,0,0,1.0,0.0,0,0.5453720092773438
