feature,test,n,rho,p_value,effect_size,q_value_bh,significant_q05
L0_freq,Spearman,7063,0.1382,1.87e-31,0.1382,3.4290832638286947e-31,True
L1_freq,Spearman,7063,0.1863,3.55e-56,0.1863,1.3014303851034446e-55,True
L2_freq,Spearman,7063,0.2229,2.96e-80,0.2229,3.2512441252649674e-79,True
L3_freq,Spearman,7063,0.0723,1.17e-09,0.0723,1.8313626341461902e-09,True
L2_uniqueness,Spearman,7063,-0.0261,2.84e-02,0.0261,0.034659045382695805,True
item_knn_mean_dist,Spearman,7063,-0.0095,4.25e-01,0.0095,0.4673581001087327,False
text_emb_norm,Spearman,7063,0.0095,4.27e-01,0.0095,0.42699614854770496,False
L0_freq,Spearman_mean_best_rank,7063,-0.1415,6.25e-33,0.1415,1.3759800016387878e-32,True
L1_freq,Spearman_mean_best_rank,7063,-0.1758,3.95e-50,0.1758,1.0850363577218804e-49,True
L2_freq,Spearman_mean_best_rank,7063,-0.2024,3.22e-66,0.2024,1.771907452586643e-65,True
L2_uniqueness,Spearman_mean_best_rank,7063,0.046,1.10e-04,0.046,0.00015173646491607143,True
