feature,test,n,rho,p_value,effect_size,q_value_bh,significant_q05
L0_freq,Spearman,7063,0.1442,4.08e-34,0.1442,8.980716671683427e-34,True
L1_freq,Spearman,7063,0.1866,2.27e-56,0.1866,8.325044429297889e-56,True
L2_freq,Spearman,7063,0.222,1.49e-79,0.222,1.6385630459819036e-78,True
L3_freq,Spearman,7063,0.0749,2.92e-10,0.0749,4.5829476956798965e-10,True
L2_uniqueness,Spearman,7063,-0.0276,2.05e-02,0.0276,0.02510195711237214,True
item_knn_mean_dist,Spearman,7063,-0.0082,4.89e-01,0.0082,0.48927577697935304,False
text_emb_norm,Spearman,7063,0.0114,3.38e-01,0.0114,0.3720119557517536,False
L0_freq,Spearman_mean_best_rank,7063,-0.1322,6.52e-29,0.1322,1.1959574834720742e-28,True
L1_freq,Spearman_mean_best_rank,7063,-0.1685,3.94e-46,0.1685,1.0836964852359023e-45,True
L2_freq,Spearman_mean_best_rank,7063,-0.1966,1.84e-62,0.1966,1.01070415755932e-61,True
L2_uniqueness,Spearman_mean_best_rank,7063,0.0453,1.40e-04,0.0453,0.00019198779264958368,True
