feature,test,n,rho,p_value,effect_size,q_value_bh,significant_q05
L0_freq,Spearman,7065,0.1374,3.86e-31,0.1374,7.070746578830439e-31,True
L1_freq,Spearman,7065,0.1658,1.03e-44,0.1658,2.827058937302861e-44,True
L2_freq,Spearman,7065,0.2063,8.91e-69,0.2063,4.903089481093604e-68,True
L3_freq,Spearman,7065,0.0671,1.63e-08,0.0671,2.5678184256143245e-08,True
L2_uniqueness,Spearman,7065,-0.0529,8.74e-06,0.0529,1.2023381106021747e-05,True
item_knn_mean_dist,Spearman,7065,-0.0119,3.19e-01,0.0119,0.3186951931484434,False
text_emb_norm,Spearman,7065,0.0144,2.26e-01,0.0144,0.24887712583668567,False
L0_freq,Spearman_mean_best_rank,7065,-0.1537,1.26e-38,0.1537,2.7776106166156106e-38,True
L1_freq,Spearman_mean_best_rank,7065,-0.1786,1.00e-51,0.1786,3.682069331153966e-51,True
L2_freq,Spearman_mean_best_rank,7065,-0.2214,3.53e-79,0.2214,3.888147970501213e-78,True
L2_uniqueness,Spearman_mean_best_rank,7065,0.0522,1.14e-05,0.0522,1.3939444110396284e-05,True
