step,theta_min,theta_max,theta_mean,c_min,c_max,c_mean,c_std,mu_d,boundary_hits,theta_grad_norm,theta_grad_finite,anchor_loss
0,0.05623487010598183,0.05623487010598183,0.05623487010598183,1.0140550136566162,1.0140550136566162,1.0140550136566162,0.0,0.05765988677740097,0,4.6484131226735414e-08,True,0.0
5,0.0561712309718132,0.056253183633089066,0.056197140365839005,1.0140390396118164,1.0140595436096191,1.0140455961227417,3.5592238418757915e-06,0.06918969750404358,0,4.6762957442680577e-07,True,9.855750937592944e-11
10,0.056009337306022644,0.05629093945026398,0.05620604753494263,1.0139987468719482,1.0140690803527832,1.0140478610992432,1.641054404899478e-05,0.09711874276399612,0,8.509771873471925e-07,True,3.080977972746979e-10
15,0.055006932467222214,0.05629346892237663,0.05611805617809296,1.013748288154602,1.0140695571899414,1.0140258073806763,7.6514836109709e-05,0.17182520031929016,0,1.6020386716810747e-05,True,6.436277288912606e-09
20,0.05340724065899849,0.05657088756561279,0.055973686277866364,1.0133485794067383,1.01413893699646,1.0139896869659424,0.00018559595628175884,0.27404025197029114,0,0.00011666951494476931,True,3.7138590869290056e-08
25,0.051096364855766296,0.05627528950572014,0.05570885166525841,1.0127713680267334,1.0140650272369385,1.0139236450195312,0.00034103941288776696,0.3112454414367676,0,0.0001741957852853057,True,1.2827099737933167e-07
30,0.048146091401576996,0.05725232884287834,0.05545182526111603,1.0120341777801514,1.0143091678619385,1.0138593912124634,0.0005403725663200021,0.18847864866256714,0,2.25126851580682e-05,True,3.1728475846648507e-07
35,0.046017300337553024,0.05700621381402016,0.055247776210308075,1.0115022659301758,1.0142476558685303,1.0138083696365356,0.0006528016529045999,0.11200589686632156,0,4.0484372191823105e-05,True,4.6805286046947003e-07
40,0.04495427757501602,0.056679144501686096,0.055331602692604065,1.0112366676330566,1.014165997505188,1.0138293504714966,0.0006436206167563796,0.09346383810043335,0,4.053349391073984e-05,True,4.470699082048668e-07
45,0.044873714447021484,0.056466009467840195,0.055517569184303284,1.0112165212631226,1.0141127109527588,1.0138757228851318,0.0005858562071807683,0.08269865810871124,0,3.686947499735821e-05,True,3.6060782804270275e-07
50,0.045598745346069336,0.05848923325538635,0.05576382949948311,1.0113977193832397,1.014618158340454,1.01393723487854,0.0005089149344712496,0.08269096910953522,0,3.1540817950523597e-05,True,2.619379131374444e-07
55,0.046853549778461456,0.058357108384370804,0.05592319369316101,1.0117112398147583,1.0145851373672485,1.0139771699905396,0.00041535208583809435,0.0753367617726326,0,2.5588799864136754e-05,True,1.713332977715254e-07
60,0.04853523150086403,0.057774972170591354,0.056032903492450714,1.0121314525604248,1.0144397020339966,1.0140044689178467,0.000306083878967911,0.07350088655948639,0,1.8795890220530608e-05,True,9.229761133155989e-08
65,0.050358522683382034,0.05824122950434685,0.05610593408346176,1.012587070465088,1.0145561695098877,1.0140228271484375,0.00021862340508960187,0.08057594299316406,0,1.3340344983134332e-05,True,4.6809208953391135e-08
70,0.052192214876413345,0.05769936367869377,0.056143686175346375,1.013045072555542,1.014420747756958,1.014032244682312,0.00015607378736604005,0.0963432788848877,0,9.428461196476956e-06,True,2.383379538173358e-08
75,0.0538715124130249,0.05787148326635361,0.056208401918411255,1.0134646892547607,1.0144639015197754,1.0140483379364014,0.00011104746954515576,0.10724446922540665,0,6.5980140780542785e-06,True,1.1848016789883786e-08
80,0.05524849146604538,0.05780354514718056,0.056260306388139725,1.0138086080551147,1.0144468545913696,1.014061450958252,8.675567369209602e-05,0.11377758532762527,0,5.247980933334194e-06,True,7.243682098589943e-09
85,0.0554012767970562,0.05754958093166351,0.05624568089842796,1.013846755027771,1.0143834352493286,1.0140576362609863,7.568290311610326e-05,0.11850301921367645,0,4.3503219694075745e-06,True,5.490458754309202e-09
90,0.05550616607069969,0.0574793741106987,0.05621299147605896,1.0138729810714722,1.0143659114837646,1.0140495300292969,6.575183942914009e-05,0.125705748796463,0,3.5769697919196046e-06,True,4.167471256977251e-09
95,0.05586209520697594,0.05722557008266449,0.056201785802841187,1.013961911201477,1.0143024921417236,1.0140466690063477,5.5971642723307014e-05,0.12908077239990234,0,3.2177050744296593e-06,True,3.0650380011820744e-09
100,0.0557093471288681,0.057222574949264526,0.056185610592365265,1.0139236450195312,1.0143017768859863,1.014042615890503,5.290900298859924e-05,0.13764362037181854,0,3.191699906287948e-06,True,2.825753186996849e-09
105,0.05567072704434395,0.0570184588432312,0.05618864297866821,1.0139141082763672,1.0142507553100586,1.0140434503555298,5.075327499071136e-05,0.14449287950992584,0,2.7642882710071547e-06,True,2.5970205985714756e-09
110,0.0554063655436039,0.056716032326221466,0.05614546686410904,1.013848066329956,1.0141751766204834,1.0140326023101807,5.051463085692376e-05,0.15458279848098755,0,2.8053096811650176e-06,True,2.9298568016145055e-09
115,0.05520186200737953,0.0566258504986763,0.05615659058094025,1.0137970447540283,1.0141527652740479,1.0140354633331299,6.44279207335785e-05,0.16552986204624176,0,3.2082150933115324e-06,True,4.346392579179792e-09
120,0.05543240159749985,0.05668587237596512,0.05610404163599014,1.0138545036315918,1.0141676664352417,1.0140223503112793,6.446409679483622e-05,0.1766202449798584,0,4.085531014652041e-06,True,5.018749860141725e-09
125,0.0546310693025589,0.05645875260233879,0.05605708807706833,1.0136544704437256,1.0141109228134155,1.0140106678009033,7.732568337814882e-05,0.17849603295326233,0,3.325407818365008e-06,True,7.643573773918888e-09
130,0.0551418662071228,0.05658702552318573,0.056069910526275635,1.013782024383545,1.0141429901123047,1.0140137672424316,8.135609095916152e-05,0.1876215934753418,0,3.6701081446444817e-06,True,7.987599914827115e-09
135,0.05452002212405205,0.05641322210431099,0.05599139258265495,1.0136265754699707,1.0140995979309082,1.0139942169189453,9.031101217260584e-05,0.19668897986412048,0,3.292600502905604e-06,True,1.1409198030776224e-08
