item_idx,l0_before_ref,l0_after,changed
0,20,51,True
1,55,54,True
2,61,61,False
3,19,47,True
4,10,10,False
5,55,54,True
6,7,7,False
7,27,4,True
8,6,17,True
9,6,6,False
10,61,17,True
11,38,17,True
12,56,60,True
13,56,60,True
14,13,50,True
15,36,3,True
16,21,29,True
17,7,11,True
18,2,10,True
19,7,7,False
20,10,10,False
21,8,10,True
22,47,30,True
23,61,61,False
24,57,1,True
25,10,10,False
26,53,39,True
27,2,41,True
28,11,31,True
29,7,7,False
30,33,27,True
31,55,54,True
32,2,41,True
33,7,7,False
34,53,11,True
35,28,25,True
36,9,38,True
37,24,6,True
38,53,0,True
39,13,32,True
40,43,47,True
41,43,21,True
42,29,45,True
43,47,30,True
44,7,49,True
45,9,38,True
46,61,61,False
47,18,56,True
48,7,60,True
49,11,31,True
50,10,54,True
51,56,60,True
52,59,14,True
53,9,38,True
54,49,24,True
55,13,50,True
56,9,38,True
57,62,62,False
58,34,28,True
59,9,38,True
60,5,16,True
61,24,6,True
62,7,61,True
63,16,23,True
64,16,23,True
65,23,54,True
66,28,51,True
67,16,23,True
68,5,59,True
69,4,22,True
70,9,38,True
71,30,45,True
72,39,34,True
73,8,11,True
74,2,36,True
75,55,54,True
76,55,54,True
77,14,42,True
78,59,14,True
79,37,55,True
80,44,58,True
81,38,17,True
82,6,44,True
83,37,20,True
84,43,21,True
85,9,38,True
86,8,44,True
87,58,0,True
88,43,9,True
89,12,33,True
90,58,29,True
91,61,61,False
92,16,23,True
93,52,46,True
94,16,23,True
95,0,22,True
96,24,17,True
97,8,49,True
98,16,23,True
99,43,9,True
100,38,17,True
101,21,23,True
102,36,35,True
103,35,35,False
104,34,44,True
105,16,23,True
106,51,49,True
107,38,32,True
108,52,46,True
109,16,23,True
110,28,25,True
111,49,24,True
112,33,7,True
113,56,60,True
114,56,25,True
115,21,16,True
116,9,38,True
117,56,60,True
118,56,60,True
119,56,49,True
120,61,33,True
121,44,58,True
122,52,46,True
123,9,38,True
124,61,28,True
125,9,61,True
126,5,28,True
127,5,28,True
128,0,20,True
129,18,18,False
130,53,24,True
131,1,53,True
132,17,49,True
133,1,53,True
134,63,57,True
135,17,49,True
136,1,53,True
137,17,49,True
138,15,40,True
139,34,49,True
140,38,17,True
141,16,23,True
142,29,40,True
143,16,23,True
144,34,6,True
145,22,8,True
146,20,18,True
147,52,7,True
148,61,61,False
149,4,54,True
150,16,23,True
151,16,23,True
152,17,49,True
153,38,44,True
154,19,47,True
155,19,47,True
156,58,29,True
157,12,33,True
158,16,23,True
159,38,17,True
160,38,17,True
161,38,17,True
162,38,17,True
163,1,17,True
164,38,17,True
165,38,17,True
166,6,44,True
167,6,44,True
168,38,17,True
169,1,49,True
170,1,53,True
171,6,44,True
172,19,47,True
173,26,10,True
174,10,10,False
175,33,7,True
176,55,3,True
177,10,10,False
178,26,26,False
179,53,39,True
180,39,34,True
181,27,4,True
182,22,51,True
183,11,31,True
184,62,62,False
185,61,54,True
186,9,38,True
187,9,38,True
188,20,60,True
189,20,26,True
190,9,38,True
191,9,38,True
192,61,61,False
193,56,17,True
194,44,58,True
195,9,50,True
196,9,38,True
197,27,4,True
198,9,38,True
199,52,46,True
200,17,53,True
201,44,58,True
202,17,49,True
203,9,38,True
204,20,10,True
205,44,58,True
206,31,63,True
207,51,52,True
208,62,6,True
209,53,39,True
210,9,38,True
211,22,38,True
212,1,0,True
213,58,23,True
214,1,53,True
215,1,53,True
216,55,58,True
217,40,18,True
218,1,53,True
219,1,53,True
220,1,49,True
221,1,53,True
222,35,47,True
