item_idx,l0_before_ref,l0_after,changed
0,20,43,True
1,55,54,True
2,61,55,True
3,19,25,True
4,10,8,True
5,55,54,True
6,7,7,False
7,27,47,True
8,6,25,True
9,6,59,True
10,61,55,True
11,38,38,False
12,56,44,True
13,56,44,True
14,13,31,True
15,36,30,True
16,21,29,True
17,7,8,True
18,2,48,True
19,7,7,False
20,10,8,True
21,8,7,True
22,47,52,True
23,61,55,True
24,57,31,True
25,10,8,True
26,53,10,True
27,2,57,True
28,11,8,True
29,7,7,False
30,33,27,True
31,55,54,True
32,2,57,True
33,7,7,False
34,53,48,True
35,28,33,True
36,9,32,True
37,24,36,True
38,53,13,True
39,13,63,True
40,43,12,True
41,43,12,True
42,29,24,True
43,47,52,True
44,7,7,False
45,9,37,True
46,61,55,True
47,18,42,True
48,7,46,True
49,11,23,True
50,10,61,True
51,56,44,True
52,59,17,True
53,9,37,True
54,49,49,False
55,13,4,True
56,9,37,True
57,62,61,True
58,34,3,True
59,9,37,True
60,5,16,True
61,24,59,True
62,7,7,False
63,16,23,True
64,16,23,True
65,23,54,True
66,28,32,True
67,16,23,True
68,5,3,True
69,4,26,True
70,9,37,True
71,30,40,True
72,39,2,True
73,8,48,True
74,2,53,True
75,55,54,True
76,55,54,True
77,14,6,True
78,59,17,True
79,37,11,True
80,44,9,True
81,38,22,True
82,6,39,True
83,37,37,False
84,43,12,True
85,9,37,True
86,8,39,True
87,58,13,True
88,43,51,True
89,12,39,True
90,58,29,True
91,61,55,True
92,16,23,True
93,52,24,True
94,16,23,True
95,0,26,True
96,24,38,True
97,8,32,True
98,16,23,True
99,43,23,True
100,38,1,True
101,21,23,True
102,36,50,True
103,35,30,True
104,34,16,True
105,16,23,True
106,51,38,True
107,38,32,True
108,52,46,True
109,16,23,True
110,28,33,True
111,49,49,False
112,33,27,True
113,56,44,True
114,56,44,True
115,21,36,True
116,9,37,True
117,56,44,True
118,56,44,True
119,56,44,True
120,61,45,True
121,44,9,True
122,52,46,True
123,9,37,True
124,61,55,True
125,9,38,True
126,5,63,True
127,5,60,True
128,0,56,True
129,18,20,True
130,53,58,True
131,1,1,False
132,17,14,True
133,1,1,False
134,63,36,True
135,17,14,True
136,1,1,False
137,17,14,True
138,15,15,False
139,34,1,True
140,38,38,False
141,16,23,True
142,29,40,True
143,16,23,True
144,34,23,True
145,22,11,True
146,20,7,True
147,52,46,True
148,61,63,True
149,4,23,True
150,16,23,True
151,16,23,True
152,17,14,True
153,38,38,False
154,19,25,True
155,19,25,True
156,58,29,True
157,12,45,True
158,16,23,True
159,38,38,False
160,38,38,False
161,38,38,False
162,38,38,False
163,1,38,True
164,38,38,False
165,38,38,False
166,6,38,True
167,6,39,True
168,38,38,False
169,1,14,True
170,1,1,False
171,6,39,True
172,19,25,True
173,26,36,True
174,10,8,True
175,33,27,True
176,55,0,True
177,10,54,True
178,26,18,True
179,53,10,True
180,39,2,True
181,27,47,True
182,22,41,True
183,11,5,True
184,62,62,False
185,61,27,True
186,9,37,True
187,9,37,True
188,20,43,True
189,20,18,True
190,9,37,True
191,9,37,True
192,61,55,True
193,56,38,True
194,44,9,True
195,9,37,True
196,9,37,True
197,27,47,True
198,9,37,True
199,52,46,True
200,17,14,True
201,44,9,True
202,17,26,True
203,9,37,True
204,20,8,True
205,44,9,True
206,31,18,True
207,51,0,True
208,62,28,True
209,53,28,True
210,9,37,True
211,22,37,True
212,1,1,False
213,58,1,True
214,1,1,False
215,1,1,False
216,55,14,True
217,40,14,True
218,1,1,False
219,1,1,False
220,1,1,False
221,1,1,False
222,35,12,True
223,1,1,False
224,61,55,True
225,1,1,False
226,48,41,True
227,48,62,True
228,58,37,True
229,51,50,True
230,51,50,True
231,48,41,True
232,27,47,True
233,60,22,True
234,48,41,True
235,48,41,True
236,53,10,True
237,25,11,True
238,8,22,True
239,58,13,True
240,18,35,True
241,60,46,True
242,11,31,True
243,62,62,False
244,54,20,True
245,6,39,True
246,54,20,True
247,9,20,True
248,51,50,True
249,42,61,True
250,43,51,True
251,5,3,True
252,27,47,True
253,43,51,True
254,58,5,True
255,5,3,True
256,49,28,True
257,1,13,True
258,4,28,True
259,59,63,True
260,11,5,True
261,26,18,True
262,3,41,True
263,11,31,True
264,11,31,True
265,45,30,True
266,50,0,True
267,39,15,True
268,39,2,True
269,49,49,False
270,8,48,True
271,10,8,True
272,51,50,True
273,53,10,True
274,10,8,True
275,39,2,True
276,45,40,True
277,30,52,True
278,7,31,True
279,45,0,True
280,33,27,True
281,30,0,True
282,10,8,True
283,39,30,True
284,32,32,False
285,8,48,True
286,33,7,True
287,30,52,True
288,50,20,True
289,45,36,True
290,30,50,True
291,41,60,True
292,24,59,True
293,36,30,True
294,29,40,True
295,41,60,True
296,11,5,True
297,23,36,True
298,41,60,True
299,3,31,True
300,3,31,True
301,44,46,True
302,3,37,True
303,41,60,True
304,41,60,True
305,36,30,True
306,46,53,True
307,41,53,True
308,28,33,True
309,37,49,True
310,59,17,True
311,4,3,True
312,4,23,True
313,59,17,True
314,26,18,True
315,26,18,True
316,20,43,True
317,10,8,True
318,27,47,True
319,49,49,False
320,49,49,False
321,61,55,True
322,16,23,True
323,5,16,True
324,46,63,True
325,25,11,True
326,43,28,True
327,28,28,False
328,46,24,True
329,28,28,False
330,3,31,True
331,38,38,False
332,25,55,True
333,2,4,True
334,33,13,True
335,46,24,True
336,11,5,True
337,6,39,True
338,61,27,True
339,49,46,True
340,42,61,True
341,61,21,True
342,30,40,True
343,36,30,True
344,57,40,True
345,3,31,True
346,50,0,True
347,11,5,True
348,10,8,True
349,51,49,True
350,12,45,True
351,16,32,True
352,10,8,True
353,25,11,True
354,43,51,True
355,43,12,True
356,62,62,False
357,43,51,True
358,43,12,True
359,24,59,True
360,43,51,True
361,14,19,True
362,62,33,True
363,60,6,True
364,48,11,True
365,43,12,True
366,48,41,True
367,14,6,True
368,16,23,True
369,13,4,True
370,47,12,True
371,61,55,True
372,20,43,True
373,14,6,True
374,60,22,True
375,48,41,True
376,60,31,True
377,13,41,True
378,52,46,True
379,25,56,True
380,45,41,True
381,10,8,True
382,52,46,True
383,38,38,False
384,15,15,False
385,6,39,True
386,56,44,True
387,56,44,True
388,25,3,True
389,62,28,True
390,48,11,True
391,12,45,True
392,6,18,True
393,61,55,True
394,21,39,True
395,12,45,True
396,42,42,False
397,6,38,True
398,6,54,True
399,6,39,True
400,59,56,True
401,56,44,True
402,36,3,True
403,0,56,True
404,11,46,True
405,41,5,True
406,50,0,True
407,0,56,True
408,5,3,True
409,12,45,True
410,49,49,False
411,22,19,True
412,48,11,True
413,42,42,False
414,56,44,True
415,58,7,True
416,61,55,True
417,49,8,True
418,24,16,True
419,52,46,True
420,13,4,True
421,44,9,True
422,34,16,True
423,59,27,True
424,16,16,False
425,47,52,True
426,20,4,True
427,38,38,False
428,22,19,True
429,44,9,True
430,25,46,True
431,20,11,True
432,62,62,False
433,62,62,False
434,42,61,True
435,52,43,True
436,28,33,True
437,58,16,True
438,21,39,True
439,42,42,False
440,9,37,True
441,4,26,True
442,16,23,True
443,42,42,False
444,12,45,True
445,62,62,False
446,12,27,True
447,9,37,True
448,12,45,True
449,38,23,True
450,16,23,True
451,13,4,True
452,23,61,True
453,56,44,True
454,4,26,True
455,7,38,True
456,13,22,True
457,38,39,True
458,49,50,True
459,20,11,True
460,18,20,True
461,53,10,True
462,13,4,True
463,17,14,True
464,0,56,True
465,24,59,True
466,7,7,False
467,19,25,True
468,33,27,True
469,13,4,True
470,54,32,True
471,37,21,True
472,58,13,True
473,58,13,True
474,1,1,False
475,14,39,True
476,8,7,True
477,16,33,True
478,10,8,True
479,39,2,True
480,44,9,True
481,44,9,True
482,61,55,True
483,33,27,True
484,10,8,True
485,59,52,True
486,26,18,True
487,47,52,True
488,22,19,True
489,7,7,False
490,19,25,True
491,48,41,True
492,10,8,True
493,19,25,True
494,26,18,True
495,43,12,True
496,6,39,True
497,52,46,True
498,16,23,True
499,57,57,False
500,20,43,True
501,15,15,False
502,31,58,True
503,41,15,True
504,39,11,True
505,31,58,True
506,9,37,True
507,31,15,True
508,15,15,False
509,15,15,False
510,34,15,True
511,15,15,False
512,15,15,False
513,31,58,True
514,31,15,True
515,36,63,True
516,15,12,True
517,48,14,True
518,9,37,True
519,9,37,True
520,10,8,True
521,41,31,True
522,29,31,True
523,51,50,True
524,17,14,True
525,38,38,False
526,24,28,True
527,13,4,True
528,44,9,True
529,4,56,True
530,17,22,True
531,21,36,True
532,30,49,True
533,46,24,True
534,17,14,True
535,61,45,True
536,33,27,True
537,5,63,True
538,46,24,True
539,5,3,True
540,6,56,True
541,56,3,True
542,61,55,True
543,52,46,True
544,58,13,True
545,32,32,False
546,2,59,True
547,22,19,True
548,62,62,False
549,14,6,True
550,22,41,True
551,62,62,False
552,22,19,True
553,52,59,True
554,31,38,True
555,42,42,False
556,16,23,True
557,35,28,True
558,36,29,True
559,59,17,True
560,9,37,True
561,48,22,True
562,6,7,True
563,9,37,True
564,10,8,True
565,58,13,True
566,38,38,False
567,48,41,True
568,46,24,True
569,55,54,True
570,27,47,True
571,54,20,True
572,49,49,False
573,46,38,True
574,28,22,True
575,58,24,True
576,32,32,False
577,43,51,True
578,52,23,True
579,38,38,False
580,14,59,True
581,23,34,True
582,42,42,False
583,62,62,False
584,12,45,True
585,19,51,True
586,43,25,True
587,43,12,True
588,43,51,True
589,14,6,True
590,35,35,False
591,46,24,True
592,62,62,False
593,19,25,True
594,43,12,True
595,61,39,True
596,62,62,False
597,42,34,True
598,54,20,True
599,48,27,True
600,54,53,True
601,41,60,True
602,18,35,True
603,56,44,True
604,56,44,True
605,9,44,True
606,56,44,True
607,56,44,True
608,4,60,True
609,56,44,True
610,52,46,True
611,49,49,False
612,36,63,True
613,38,38,False
614,5,63,True
615,43,12,True
616,52,46,True
617,0,56,True
618,17,14,True
619,38,38,False
620,24,28,True
621,4,28,True
622,0,56,True
623,35,40,True
624,5,13,True
625,53,10,True
626,0,56,True
627,11,27,True
628,32,32,False
629,16,23,True
630,43,28,True
631,51,49,True
632,22,19,True
633,52,46,True
