step,theta_min,theta_max,theta_mean,c_min,c_max,c_mean,c_std,mu_d,boundary_hits,theta_grad_norm,theta_grad_finite,anchor_loss
0,0.05623487010598183,0.05623487010598183,0.05623487010598183,1.0140550136566162,1.0140550136566162,1.0140550136566162,0.0,0.05765988677740097,0,4.6484131226735414e-08,True,0.0
5,0.0561712309718132,0.056253183633089066,0.0561971440911293,1.0140390396118164,1.0140595436096191,1.0140455961227417,3.5592238418757915e-06,0.06918984651565552,0,4.6762871011368987e-07,True,9.855750937592944e-11
10,0.05600934848189354,0.05629093945026398,0.05620604753494263,1.0139987468719482,1.0140690803527832,1.0140478610992432,1.641054404899478e-05,0.09711902588605881,0,8.509899674730267e-07,True,3.080977972746979e-10
15,0.055006951093673706,0.05629346892237663,0.05611804872751236,1.013748288154602,1.0140695571899414,1.0140258073806763,7.651527266716585e-05,0.171832874417305,0,1.6024360925570065e-05,True,6.4363243623688504e-09
20,0.05340725928544998,0.05657099559903145,0.05597365275025368,1.0133485794067383,1.01413893699646,1.0139896869659424,0.0001856071612564847,0.27402809262275696,0,0.00011648905167085943,True,3.7145230891155734e-08
25,0.05109569802880287,0.05627528578042984,0.0557088777422905,1.0127711296081543,1.0140650272369385,1.0139236450195312,0.00034094686270691454,0.3111672103404999,0,0.00017407966323866126,True,1.2821404027363315e-07
30,0.048145394772291183,0.05725202336907387,0.05545193701982498,1.0120340585708618,1.0143091678619385,1.0138593912124634,0.0005403835093602538,0.18839214742183685,0,2.2525737288279337e-05,True,3.172675633322797e-07
35,0.046017058193683624,0.05700695142149925,0.05524788051843643,1.0115022659301758,1.0142478942871094,1.0138084888458252,0.000652708753477782,0.111971914768219,0,4.048404590063161e-05,True,4.6792612806711986e-07
40,0.044955138117074966,0.05666181072592735,0.05533120036125183,1.0112369060516357,1.0141615867614746,1.013829231262207,0.0006433662492781878,0.09345537424087524,0,4.0522822322875276e-05,True,4.4681110011879355e-07
45,0.04487618803977966,0.05647766590118408,0.05551838129758835,1.0112171173095703,1.014115571975708,1.013875961303711,0.000585720525123179,0.08273762464523315,0,3.685832213171041e-05,True,3.603726099754567e-07
50,0.045603346079587936,0.05849447846412659,0.05576319620013237,1.0113987922668457,1.0146194696426392,1.0139371156692505,0.0005086002056486905,0.08274459838867188,0,3.1531581524828766e-05,True,2.6166966904384026e-07
55,0.04686034098267555,0.058349449187517166,0.05592615529894829,1.0117130279541016,1.0145832300186157,1.0139778852462769,0.0004150395398028195,0.07550933212041855,0,2.556334077622612e-05,True,1.709729389176573e-07
60,0.04854404181241989,0.05777094140648842,0.05603346973657608,1.0121335983276367,1.0144386291503906,1.0140047073364258,0.0003056847199331969,0.0735626295208931,0,1.8769551553984606e-05,True,9.205746920315505e-08
65,0.050368838012218475,0.05823754146695137,0.056091416627168655,1.0125895738601685,1.0145552158355713,1.014019250869751,0.00021771634055767208,0.08061601221561432,0,1.3314848433975397e-05,True,4.666943098641241e-08
70,0.05220336094498634,0.05769764259457588,0.056155815720558167,1.0130479335784912,1.0144203901290894,1.0140352249145508,0.00015585587243549526,0.09694437682628632,0,9.398594214252109e-06,True,2.3649231906119894e-08
75,0.05388263612985611,0.05787156894803047,0.05620192736387253,1.0134673118591309,1.0144639015197754,1.0140466690063477,0.00011097334936494008,0.1093849390745163,0,6.564269779053289e-06,True,1.185807363413005e-08
80,0.05525863543152809,0.05780360475182533,0.05625179409980774,1.0138111114501953,1.0144469738006592,1.01405930519104,8.779777272138745e-05,0.1148390918970108,0,5.247635768975699e-06,True,7.395645429397746e-09
85,0.05539696663618088,0.05755242332816124,0.056243766099214554,1.013845682144165,1.0143840312957764,1.0140571594238281,7.582885154988617e-05,0.11824209988117218,0,4.325460920144394e-06,True,5.50936052334805e-09
90,0.05528772249817848,0.05747868865728378,0.05621449649333954,1.013818383216858,1.0143656730651855,1.0140498876571655,7.023186481092125e-05,0.12496732175350189,0,3.725598080646319e-06,True,4.747491288981109e-09
95,0.05562862381339073,0.05722232535481453,0.05620114505290985,1.0139036178588867,1.0143016576766968,1.014046549797058,5.868341031600721e-05,0.1285688877105713,0,3.1793802719191816e-06,True,3.3649252273448838e-09
100,0.05553220584988594,0.057214245200157166,0.05619668588042259,1.0138795375823975,1.0142996311187744,1.0140454769134521,5.464927380671725e-05,0.13788668811321259,0,3.165024119281789e-06,True,2.9477469354333152e-09
105,0.055709220468997955,0.05700557306408882,0.05616369470953941,1.0139236450195312,1.0142475366592407,1.0140373706817627,4.9499853048473597e-05,0.14735329151153564,0,2.832773448860883e-06,True,2.651717956325683e-09
110,0.05552837997674942,0.05670257657766342,0.05614457651972771,1.013878583908081,1.014171838760376,1.0140323638916016,5.1958188123535365e-05,0.15668892860412598,0,3.266545874599748e-06,True,3.0789379934503813e-09
115,0.0551806315779686,0.05649380758404732,0.05612201616168022,1.0137916803359985,1.0141196250915527,1.0140267610549927,7.000158802838996e-05,0.1684151291847229,0,3.272034888536971e-06,True,5.465926378178665e-09
120,0.05530643090605736,0.056506697088479996,0.056066855788230896,1.0138230323791504,1.0141229629516602,1.0140130519866943,6.947357906028628e-05,0.1779962182044983,0,3.4974785393783986e-06,True,6.332605995140739e-09
