item_idx,l0_before_ref,l0_after,changed
0,20,48,True
1,55,15,True
2,61,50,True
3,19,19,False
4,10,8,True
5,55,15,True
6,7,7,False
7,27,45,True
8,6,21,True
9,6,11,True
10,61,38,True
11,38,38,False
12,56,51,True
13,56,51,True
14,13,2,True
15,36,35,True
16,21,29,True
17,7,55,True
18,2,5,True
19,7,7,False
20,10,8,True
21,8,7,True
22,47,27,True
23,61,50,True
24,57,42,True
25,10,27,True
26,53,10,True
27,2,57,True
28,11,57,True
29,7,4,True
30,33,33,False
31,55,15,True
32,2,17,True
33,7,7,False
34,53,8,True
35,28,59,True
36,9,37,True
37,24,59,True
38,53,13,True
39,13,58,True
40,43,27,True
41,43,9,True
42,29,40,True
43,47,27,True
44,7,7,False
45,9,37,True
46,61,50,True
47,18,25,True
48,7,41,True
49,11,3,True
50,10,15,True
51,56,51,True
52,59,17,True
53,9,37,True
54,49,34,True
55,13,2,True
56,9,9,False
57,62,61,True
58,34,23,True
59,9,37,True
60,5,44,True
61,24,59,True
62,7,50,True
63,16,23,True
64,16,23,True
65,23,15,True
66,28,23,True
67,16,23,True
68,5,16,True
69,4,58,True
70,9,18,True
71,30,34,True
72,39,4,True
73,8,8,False
74,2,47,True
75,55,15,True
76,55,15,True
77,14,14,False
78,59,17,True
79,37,53,True
80,44,28,True
81,38,38,False
82,6,6,False
83,37,37,False
84,43,9,True
85,9,37,True
86,8,6,True
87,58,13,True
88,43,62,True
89,12,12,False
90,58,44,True
91,61,50,True
92,16,23,True
93,52,46,True
94,16,23,True
95,0,56,True
96,24,15,True
97,8,17,True
98,16,23,True
99,43,58,True
100,38,57,True
101,21,23,True
102,36,30,True
103,35,35,False
104,34,6,True
105,16,23,True
106,51,11,True
107,38,2,True
108,52,46,True
109,16,23,True
110,28,23,True
111,49,49,False
112,33,33,False
113,56,2,True
114,56,51,True
115,21,24,True
116,9,37,True
117,56,51,True
118,56,51,True
119,56,23,True
120,61,33,True
121,44,28,True
122,52,46,True
123,9,22,True
124,61,50,True
125,9,50,True
126,5,16,True
127,5,16,True
128,0,56,True
129,18,25,True
130,53,2,True
131,1,32,True
132,17,24,True
133,1,32,True
134,63,41,True
135,17,0,True
136,1,32,True
137,17,0,True
138,15,20,True
139,34,44,True
140,38,38,False
141,16,23,True
142,29,53,True
143,16,23,True
144,34,51,True
145,22,52,True
146,20,57,True
147,52,28,True
148,61,50,True
149,4,23,True
150,16,23,True
151,16,23,True
152,17,0,True
153,38,27,True
154,19,19,False
155,19,19,False
156,58,29,True
157,12,12,False
158,16,23,True
159,38,38,False
160,38,38,False
161,38,38,False
162,38,38,False
163,1,38,True
164,38,38,False
165,38,38,False
166,6,6,False
167,6,6,False
168,38,38,False
169,1,37,True
170,1,32,True
171,6,6,False
172,19,19,False
173,26,26,False
174,10,8,True
175,33,33,False
176,55,5,True
177,10,8,True
178,26,26,False
179,53,10,True
180,39,4,True
181,27,45,True
182,22,18,True
183,11,3,True
184,62,61,True
185,61,50,True
186,9,37,True
187,9,37,True
188,20,26,True
189,20,26,True
190,9,37,True
191,9,37,True
192,61,50,True
193,56,7,True
194,44,28,True
195,9,37,True
196,9,37,True
197,27,45,True
198,9,37,True
199,52,46,True
200,17,0,True
201,44,28,True
202,17,0,True
203,9,37,True
204,20,8,True
205,44,28,True
206,31,18,True
207,51,11,True
208,62,16,True
209,53,57,True
210,9,37,True
211,22,37,True
212,1,0,True
213,58,54,True
214,1,0,True
215,1,0,True
216,55,24,True
217,40,40,False
218,1,32,True
219,1,32,True
220,1,0,True
221,1,32,True
222,35,18,True
223,1,32,True
224,61,50,True
225,1,32,True
226,48,52,True
227,48,52,True
228,58,21,True
229,51,40,True
230,51,55,True
231,48,52,True
232,27,45,True
233,60,55,True
234,48,52,True
235,48,52,True
236,53,10,True
237,25,19,True
238,8,38,True
239,58,13,True
240,18,48,True
241,60,46,True
242,11,31,True
243,62,61,True
244,54,39,True
245,6,9,True
246,54,32,True
247,9,25,True
248,51,40,True
249,42,43,True
250,43,62,True
251,5,16,True
252,27,19,True
253,43,27,True
254,58,29,True
255,5,44,True
256,49,49,False
257,1,32,True
258,4,19,True
259,59,48,True
260,11,3,True
261,26,26,False
262,3,42,True
263,11,42,True
264,11,42,True
265,45,4,True
266,50,30,True
267,39,4,True
268,39,4,True
269,49,49,False
270,8,54,True
271,10,8,True
272,51,11,True
273,53,10,True
274,10,8,True
275,39,4,True
276,45,4,True
277,30,34,True
278,7,7,False
279,45,4,True
280,33,33,False
281,30,5,True
282,10,8,True
283,39,51,True
284,32,41,True
285,8,6,True
286,33,33,False
287,30,34,True
288,50,5,True
289,45,61,True
290,30,34,True
291,41,31,True
292,24,59,True
293,36,35,True
294,29,53,True
295,41,31,True
296,11,3,True
297,23,18,True
298,41,31,True
299,3,42,True
300,3,42,True
301,44,46,True
302,3,42,True
303,41,31,True
304,41,31,True
305,36,35,True
306,46,1,True
307,41,31,True
308,28,58,True
309,37,23,True
310,59,17,True
311,4,58,True
312,4,58,True
313,59,17,True
314,26,26,False
315,26,26,False
316,20,48,True
317,10,8,True
318,27,45,True
319,49,49,False
320,49,49,False
321,61,50,True
322,16,14,True
323,5,44,True
324,46,59,True
325,25,8,True
326,43,57,True
327,28,28,False
328,46,1,True
329,28,58,True
330,3,25,True
331,38,38,False
332,25,50,True
333,2,13,True
334,33,13,True
335,46,23,True
336,11,3,True
337,6,6,False
338,61,33,True
339,49,49,False
340,42,15,True
341,61,33,True
342,30,34,True
343,36,35,True
344,57,53,True
345,3,6,True
346,50,5,True
347,11,3,True
348,10,8,True
349,51,49,True
350,12,39,True
351,16,54,True
352,10,8,True
353,25,48,True
354,43,62,True
355,43,62,True
356,62,61,True
357,43,9,True
358,43,9,True
359,24,59,True
360,43,62,True
361,14,14,False
362,62,46,True
363,60,14,True
364,48,52,True
365,43,9,True
366,48,52,True
367,14,14,False
368,16,23,True
369,13,13,False
370,47,27,True
371,61,50,True
372,20,48,True
373,14,14,False
374,60,55,True
375,48,52,True
376,60,42,True
377,13,2,True
378,52,46,True
379,25,9,True
380,45,52,True
381,10,8,True
382,52,46,True
383,38,3,True
384,15,20,True
385,6,6,False
386,56,37,True
387,56,41,True
388,25,9,True
389,62,61,True
390,48,52,True
391,12,12,False
392,6,8,True
393,61,33,True
394,21,6,True
395,12,12,False
396,42,43,True
397,6,6,False
398,6,6,False
399,6,6,False
