step,theta_min,theta_max,theta_mean,c_min,c_max,c_mean,c_std,mu_d,boundary_hits,theta_grad_norm,theta_grad_finite,anchor_loss
0,0.05623487010598183,0.05623487010598183,0.05623487010598183,1.0140550136566162,1.0140550136566162,1.0140550136566162,0.0,0.05765988677740097,0,4.6484131226735414e-08,True,0.0
5,0.05606914311647415,0.0562819205224514,0.056189775466918945,1.0140135288238525,1.0140666961669922,1.0140438079833984,1.1733532119251322e-05,0.06918969750404358,0,5.710804268200461e-07,True,1.2361278667327724e-10
10,0.05551336705684662,0.056504614651203156,0.05622538924217224,1.0138747692108154,1.0141223669052124,1.0140526294708252,6.450901128118858e-05,0.09711875021457672,0,1.4611888575616532e-06,True,5.468820708787181e-12
15,0.05418188124895096,0.05702311918139458,0.05624610185623169,1.0135421752929688,1.014251947402954,1.0140578746795654,0.00021037858095951378,0.17182521522045135,0,1.992137041949817e-05,True,7.51754214434186e-12
20,0.05254779011011124,0.057597752660512924,0.05624452978372574,1.0131340026855469,1.0143954753875732,1.0140573978424072,0.00039936602115631104,0.2740402817726135,0,0.00012608418643111644,True,5.261736359118974e-12
25,0.050219982862472534,0.05821976810693741,0.056242696940898895,1.012552261352539,1.014550805091858,1.014056921005249,0.0006321633700281382,0.31124556064605713,0,0.00019085741272452923,True,2.9110602817183917e-12
30,0.047064635902643204,0.05888860672712326,0.05624306946992874,1.0117640495300293,1.0147178173065186,1.0140571594238281,0.0009106246870942414,0.18847905099391937,0,2.6421915711231786e-05,True,2.4948931809376518e-12
35,0.043725717812776566,0.05951792001724243,0.056224994361400604,1.0109297037124634,1.0148751735687256,1.014052391052246,0.0011861114762723446,0.1120036393404007,0,2.5801157337033934e-06,True,1.0121292692844008e-11
40,0.04090031236410141,0.060417961329221725,0.056238818913698196,1.010223627090454,1.0150998830795288,1.014055848121643,0.0014724915381520987,0.09344711154699326,0,1.89842062862655e-06,True,3.3661441689591953e-14
45,0.03816504403948784,0.06116298586130142,0.056239571422338486,1.00954008102417,1.0152859687805176,1.0140559673309326,0.0017233149847015738,0.08273626118898392,0,1.096071113827792e-06,True,1.8035573035035668e-13
50,0.0342196561396122,0.06191815063357353,0.056246303021907806,1.0085539817810059,1.015474557876587,1.0140576362609863,0.0019762064330279827,0.08262194693088531,0,1.0047164901100679e-06,True,5.537246008935348e-13
55,0.031022626906633377,0.06260686367750168,0.0562414713203907,1.0077550411224365,1.0156465768814087,1.0140564441680908,0.0022048233076930046,0.07537147402763367,0,5.621954321778852e-07,True,9.237610676393615e-13
60,0.02824978716671467,0.06346144527196884,0.05624835938215256,1.0070619583129883,1.0158600807189941,1.0140581130981445,0.002447702456265688,0.07342319190502167,0,4.671757076760872e-07,True,2.220446049250313e-14
65,0.026242800056934357,0.06452962756156921,0.05624827742576599,1.0065603256225586,1.0161268711090088,1.014057993888855,0.002709917491301894,0.08004465699195862,0,4.7333714708401275e-07,True,3.5972613776635853e-13
70,0.024778852239251137,0.06590115278959274,0.05618809908628464,1.0061943531036377,1.0164692401885986,1.014042854309082,0.0030514055397361517,0.09607823193073273,0,1.0769086370366148e-06,True,2.7099933408436527e-10
75,0.022610614076256752,0.06775321811437607,0.056240398436784744,1.0056524276733398,1.0169317722320557,1.0140557289123535,0.003556746058166027,0.10741738975048065,0,1.1062117729836204e-06,True,2.8487941172716802e-11
80,0.010076452046632767,0.07000342756509781,0.056248702108860016,1.002519130706787,1.017493724822998,1.0140575170516968,0.004257571417838335,0.11337950825691223,0,1.2322172583767784e-06,True,3.824163208321352e-11
85,-0.0040420666337013245,0.07307126373052597,0.05629633739590645,0.998989462852478,1.0182597637176514,1.0140690803527832,0.005191987846046686,0.11783657968044281,0,1.4305455250819847e-06,True,8.279219324003328e-13
90,-0.017197217792272568,0.0768953189253807,0.05630467087030411,0.9957008361816406,1.019214391708374,1.0140705108642578,0.006273486651480198,0.1254735141992569,0,1.6388684708838847e-06,True,1.2498349577505508e-11
95,-0.029913468286395073,0.08214456588029861,0.056338805705308914,0.9925221800804138,1.0205246210098267,1.0140783786773682,0.0076681701466441154,0.1289704591035843,0,1.3969895253094393e-06,True,2.818058286724323e-11
