item_idx,l0_before_ref,l0_after,l1_before_ref,l1_after,l2_before_ref,l2_after
0,20,21,119,112,118,164
1,55,10,119,43,58,26
2,61,57,14,58,233,55
3,19,47,78,75,199,195
4,10,30,94,121,222,66
5,55,10,16,43,52,55
6,7,7,91,71,105,88
7,27,27,86,88,60,102
8,6,59,76,95,123,139
9,6,59,89,88,33,238
10,61,59,56,106,71,201
11,38,59,31,2,92,174
12,56,44,14,82,200,102
13,56,44,6,97,62,77
14,13,13,39,73,169,140
15,36,35,76,86,198,186
16,21,29,67,118,242,185
17,7,33,89,83,29,101
18,2,30,12,8,3,171
19,7,7,24,113,162,58
20,10,8,31,71,9,84
21,8,7,103,83,170,16
22,47,27,12,110,79,251
23,61,57,41,51,186,74
24,57,22,59,73,170,212
25,10,30,67,23,222,141
26,53,30,63,34,212,79
27,2,40,75,94,220,86
28,11,56,71,95,251,167
29,7,7,4,75,55,251
30,33,2,86,11,48,249
31,55,10,100,3,93,236
32,2,40,102,25,7,113
33,7,7,95,110,82,152
34,53,56,78,15,237,77
35,28,51,104,91,59,225
36,9,44,73,107,202,74
37,24,17,61,93,118,183
38,53,38,5,49,238,158
39,13,3,110,28,20,80
40,43,47,124,97,79,106
41,43,62,59,10,86,102
42,29,12,2,97,220,72
43,47,27,11,5,28,13
44,7,7,68,16,62,223
45,9,37,49,97,163,208
46,61,57,72,90,210,233
47,18,25,27,77,92,75
48,7,17,50,113,2,8
49,11,4,50,64,118,153
50,10,8,95,110,189,52
51,56,44,113,78,114,142
52,59,6,38,53,176,17
53,9,37,100,0,10,49
54,49,26,118,110,203,116
55,13,13,110,1,43,154
56,9,37,43,107,20,213
57,62,38,78,39,49,130
58,34,17,100,22,44,63
59,9,37,60,26,126,183
60,5,5,103,79,237,156
61,24,11,12,53,208,151
62,7,57,26,94,175,22
63,16,18,29,38,143,235
64,16,18,102,16,36,78
65,23,10,78,94,241,128
66,28,23,11,9,239,56
67,16,18,76,103,23,87
68,5,28,60,100,152,133
69,4,3,46,111,59,118
70,9,37,98,16,34,239
71,30,41,58,13,100,174
72,39,24,127,52,158,121
73,8,33,101,112,248,14
74,2,36,100,89,34,61
75,55,10,108,60,34,184
76,55,10,125,23,82,124
77,14,46,89,23,214,34
78,59,6,82,93,254,72
79,37,2,119,119,68,167
80,44,16,112,16,119,218
81,38,59,23,63,194,62
82,6,14,56,41,109,94
83,37,37,94,94,233,102
84,43,39,12,39,3,230
85,9,37,4,84,145,219
86,8,14,50,73,163,74
87,58,29,122,125,174,152
88,43,42,20,121,78,29
89,12,45,125,11,103,25
90,58,35,126,37,129,152
91,61,57,64,88,170,203
92,16,18,44,17,181,249
93,52,17,71,105,33,92
94,16,18,61,38,186,73
95,0,3,30,94,133,164
96,24,29,98,106,251,147
97,8,13,45,62,141,0
98,16,18,92,11,198,47
99,43,42,64,81,48,187
100,38,59,110,117,241,76
101,21,18,47,100,248,49
102,36,15,35,99,166,137
103,35,35,29,120,220,187
104,34,59,89,63,116,237
105,16,18,19,101,83,165
106,51,17,116,30,141,198
107,38,51,84,98,7,93
108,52,17,38,20,10,155
109,16,18,71,25,36,179
110,28,23,11,27,105,56
111,49,26,36,5,248,93
112,33,2,43,22,19,115
113,56,44,8,106,11,242
114,56,48,101,125,190,222
115,21,28,123,41,29,177
116,9,37,61,38,131,126
117,56,44,107,106,12,225
118,56,44,122,115,17,207
119,56,44,58,65,44,106
120,61,57,90,102,194,43
121,44,16,29,38,108,189
122,52,17,101,100,175,131
123,9,37,121,31,145,79
124,61,57,27,32,235,225
125,9,57,124,113,142,241
126,5,63,121,42,18,64
127,5,63,66,58,61,83
128,0,11,65,56,168,149
129,18,20,48,91,152,54
130,53,38,92,31,238,44
131,1,32,114,4,66,33
132,17,0,13,87,143,12
133,1,32,68,9,28,248
134,63,58,3,92,5,218
135,17,32,27,87,213,37
136,1,32,90,112,233,253
137,17,35,113,53,61,0
138,15,1,103,98,36,41
139,34,32,45,87,178,248
140,38,59,109,19,184,164
141,16,18,92,126,139,175
142,29,12,27,25,134,216
143,16,18,114,32,19,30
144,34,46,23,27,13,142
145,22,55,6,51,152,237
146,20,57,52,1,175,113
147,52,57,123,44,79,192
148,61,55,108,18,117,232
149,4,18,114,104,208,11
150,16,18,64,64,135,17
151,16,11,29,71,152,134
152,17,0,34,37,230,34
153,38,59,10,16,154,53
154,19,47,70,80,102,60
155,19,47,20,9,202,183
156,58,24,38,9,168,154
157,12,45,44,107,73,45
158,16,18,100,88,162,34
159,38,59,112,47,179,6
160,38,59,84,1,64,255
161,38,59,74,100,2,228
162,38,59,84,1,192,176
163,1,39,123,91,38,35
164,38,59,74,50,151,18
165,38,6,85,8,94,71
166,6,14,85,23,202,133
167,6,14,78,23,151,59
168,38,59,58,99,42,218
169,1,0,21,35,72,207
170,1,32,85,37,83,146
171,6,14,43,73,51,19
172,19,8,38,59,28,131
173,26,43,49,56,147,80
174,10,8,86,30,209,161
175,33,2,43,22,19,115
176,55,34,7,91,225,122
177,10,10,58,90,189,38
178,26,51,42,47,25,164
179,53,39,30,4,55,207
180,39,24,42,109,4,249
181,27,31,117,22,83,227
182,22,21,65,83,246,163
183,11,4,2,99,175,221
184,62,38,13,11,223,251
185,61,57,78,39,122,63
186,9,37,18,122,222,103
187,9,37,21,70,236,62
188,20,51,26,72,86,208
189,20,51,61,120,61,144
190,9,37,124,2,187,157
191,9,37,27,125,130,202
192,61,57,4,37,191,253
193,56,63,47,47,60,121
194,44,16,9,4,26,78
195,9,37,91,84,3,245
196,9,37,69,98,255,189
197,27,31,73,104,78,69
198,9,37,91,84,195,178
199,52,17,10,54,210,94
200,17,0,16,20,46,219
201,44,32,127,58,218,51
202,17,32,65,89,219,246
203,9,37,74,58,59,164
204,20,8,52,53,195,240
205,44,16,84,1,114,22
206,31,48,101,29,209,69
207,51,34,68,10,86,90
208,62,38,11,110,63,87
209,53,40,23,22,26,87
210,9,37,38,57,246,71
211,22,37,62,6,69,74
212,1,32,75,89,152,94
213,58,32,51,96,30,16
214,1,32,91,15,151,209
215,1,32,42,11,202,170
216,55,0,7,87,169,159
217,40,32,40,96,90,66
218,1,32,10,47,166,154
219,1,32,52,126,83,234
220,1,34,32,126,251,210
221,1,32,52,114,213,205
222,35,62,24,8,168,125
223,1,32,16,122,211,214
224,61,57,26,94,151,10
225,1,32,84,24,51,58
226,48,20,66,28,40,251
227,48,20,9,123,81,208
228,58,55,38,125,232,130
229,51,50,126,60,96,193
230,51,61,96,55,185,65
231,48,20,4,53,204,235
232,27,31,32,112,199,151
233,60,61,33,98,88,144
234,48,20,85,8,239,58
235,48,20,107,12,220,129
236,53,39,105,73,51,108
237,25,55,85,16,164,100
238,8,59,17,117,163,19
239,58,13,112,50,152,52
240,18,21,79,76,205,115
241,60,17,92,54,66,49
242,11,13,3,104,32,18
243,62,38,18,14,85,35
244,54,6,123,18,232,132
245,6,14,106,41,113,60
246,54,54,38,122,225,236
247,9,38,66,35,208,56
248,51,50,16,55,214,189
249,42,43,46,111,222,186
250,43,42,53,93,27,56
251,5,3,102,108,111,235
252,27,31,62,47,199,154
253,43,27,21,118,251,76
254,58,29,119,53,24,83
255,5,34,6,84,181,138
256,49,42,69,102,139,121
257,1,13,123,62,195,191
258,4,23,64,36,13,7
259,59,29,14,9,213,90
260,11,4,121,49,183,189
261,26,51,109,109,199,158
262,3,55,24,50,12,243
263,11,52,106,27,154,34
264,11,4,72,106,79,35
265,45,41,106,41,247,252
266,50,34,18,28,155,82
267,39,24,103,25,110,21
268,39,24,72,60,138,31
269,49,26,64,123,134,125
270,8,33,51,83,119,25
271,10,8,57,19,62,92
272,51,15,96,89,147,15
273,53,39,86,4,20,187
274,10,8,67,36,95,162
275,39,24,117,115,204,235
276,45,41,115,70,3,6
277,30,40,113,55,15,64
278,7,7,14,6,96,209
279,45,24,12,34,67,89
280,33,2,102,63,243,11
281,30,34,30,55,169,146
282,10,8,19,125,145,220
283,39,61,70,121,53,128
284,32,58,95,66,64,194
285,8,33,67,127,1,149
286,33,7,111,70,48,74
287,30,40,94,121,127,216
288,50,34,80,16,174,217
289,45,10,38,88,33,247
290,30,15,14,60,62,193
291,41,56,22,87,17,181
292,24,11,75,78,201,222
293,36,35,61,38,2,207
294,29,12,4,60,201,147
295,41,56,112,91,139,155
296,11,4,5,108,95,82
297,23,60,124,39,20,120
298,41,56,14,96,7,209
299,3,60,79,8,243,81
300,3,52,54,29,12,239
301,44,17,22,54,93,34
302,3,52,60,81,38,85
303,41,56,117,18,81,185
304,41,56,68,48,113,176
305,36,35,120,39,38,181
306,46,49,27,8,78,159
307,41,56,65,48,207,66
308,28,23,115,0,81,224
309,37,9,124,41,56,233
310,59,6,52,103,20,76
311,4,3,87,25,230,255
312,4,18,53,47,211,244
313,59,6,11,92,167,24
314,26,51,124,125,19,231
315,26,55,107,31,76,73
316,20,51,26,112,204,79
317,10,8,97,104,164,117
318,27,31,35,62,249,140
319,49,26,115,0,167,246
320,49,26,35,23,35,204
321,61,57,46,111,189,211
322,16,18,19,88,13,40
323,5,5,74,50,145,146
324,46,63,55,44,139,252
325,25,8,119,10,236,218
326,43,42,20,122,39,106
327,28,0,55,6,129,68
328,46,49,126,4,190,99
329,28,3,18,122,252,196
330,3,20,88,60,2,203
331,38,59,82,64,162,248
332,25,57,18,122,123,82
333,2,13,56,113,85,47
334,33,23,50,112,117,235
335,46,49,6,6,104,151
336,11,4,70,108,192,131
337,6,14,46,111,195,29
338,61,57,21,8,244,59
339,49,15,45,36,70,12
340,42,43,78,110,101,129
341,61,57,90,2,255,59
342,30,15,13,101,234,0
343,36,48,60,32,208,139
