step,layer_idx,shared,theta_min,theta_max,theta_mean,c_min,c_max,c_mean,c_std,mu_d,boundary_hits,theta_grad_norm,theta_grad_finite,anchor_loss
0,2,True,0.2991032302379608,0.2991032302379608,0.2991032302379608,1.074223279953003,1.074223279953003,1.074223279953003,0.0,0.014283798635005951,0,7.992372660239269e-22,True,0.0
5,2,True,0.2991497814655304,0.2991497814655304,0.2991497814655304,1.0742347240447998,1.0742347240447998,1.0742347240447998,0.0,0.03750628978013992,0,4.908078153675888e-06,True,6.913061789681763e-10
10,2,True,0.2991437017917633,0.2991437017917633,0.2991437017917633,1.0742331743240356,1.0742331743240356,1.0742331743240356,0.0,0.05503128468990326,0,4.4456410250859335e-06,True,6.237571015255128e-10
15,2,True,0.29904672503471375,0.29904672503471375,0.29904672503471375,1.074209451675415,1.074209451675415,1.074209451675415,0.0,0.11550234258174896,0,9.039736141858157e-07,True,3.926610148141663e-09
20,2,True,0.298603355884552,0.298603355884552,0.298603355884552,1.0741010904312134,1.0741010904312134,1.0741010904312134,0.0,0.2140985131263733,0,5.89348201174289e-06,True,1.8345313890222315e-07
25,2,True,0.29786911606788635,0.29786911606788635,0.29786911606788635,1.0739214420318604,1.0739214420318604,1.0739214420318604,0.0,0.2502332925796509,0,2.609721923363395e-05,True,1.147557100011909e-06
30,2,True,0.29935330152511597,0.29935330152511597,0.29935330152511597,1.0742844343185425,1.0742844343185425,1.0742844343185425,0.0,0.14002220332622528,0,3.496727367746644e-05,True,7.425895205415145e-07
35,2,True,0.2988899350166321,0.2988899350166321,0.2988899350166321,1.0741710662841797,1.0741710662841797,1.0741710662841797,0.0,0.0757681131362915,0,2.1267536794766784e-05,True,2.5312441920277706e-08
40,2,True,0.299161434173584,0.299161434173584,0.299161434173584,1.074237585067749,1.074237585067749,1.074237585067749,0.0,0.05198512226343155,0,6.256605047383346e-06,True,2.1688404672204342e-07
45,2,True,0.29917868971824646,0.29917868971824646,0.29917868971824646,1.0742416381835938,1.0742416381835938,1.0742416381835938,0.0,0.042162761092185974,0,7.856427146180067e-06,True,1.1124121357397598e-07
50,2,True,0.2989721894264221,0.2989721894264221,0.2989721894264221,1.0741913318634033,1.0741913318634033,1.0741913318634033,0.0,0.03982800245285034,0,1.3486780517268926e-05,True,3.522417557633162e-08
55,2,True,0.29910510778427124,0.29910510778427124,0.29910510778427124,1.0742237567901611,1.0742237567901611,1.0742237567901611,0.0,0.04134731739759445,0,2.4447513169434387e-07,True,6.753646886181741e-08
60,2,True,0.29918423295021057,0.29918423295021057,0.29918423295021057,1.0742430686950684,1.0742430686950684,1.0742430686950684,0.0,0.0424845814704895,0,8.429082299699076e-06,True,5.0355053460293675e-09
65,2,True,0.29913753271102905,0.29913753271102905,0.29913753271102905,1.0742316246032715,1.0742316246032715,1.0742316246032715,0.0,0.045215584337711334,0,3.586591674320516e-06,True,2.4464682724101294e-08
70,2,True,0.2990889847278595,0.2990889847278595,0.2990889847278595,1.0742197036743164,1.0742197036743164,1.0742197036743164,0.0,0.04740958660840988,0,1.4495888081000885e-06,True,2.4691579891822357e-09
75,2,True,0.2990765869617462,0.2990765869617462,0.2990765869617462,1.0742168426513672,1.0742168426513672,1.0742168426513672,0.0,0.049610670655965805,0,2.646552957230597e-06,True,8.423526765000133e-09
80,2,True,0.2990778386592865,0.2990778386592865,0.2990778386592865,1.0742170810699463,1.0742170810699463,1.0742170810699463,0.0,0.05303138494491577,0,2.523585180824739e-06,True,2.0192263416873857e-09
85,2,True,0.29908421635627747,0.29908421635627747,0.29908421635627747,1.0742186307907104,1.0742186307907104,1.0742186307907104,0.0,0.05643501877784729,0,1.8448207583787735e-06,True,4.496261141184732e-10
90,2,True,0.2990935742855072,0.2990935742855072,0.2990935742855072,1.074220895767212,1.074220895767212,1.074220895767212,0.0,0.0595562644302845,0,8.568274552089861e-07,True,3.2290701224013674e-09
95,2,True,0.2991102337837219,0.2991102337837219,0.2991102337837219,1.0742249488830566,1.0742249488830566,1.0742249488830566,0.0,0.06072237342596054,0,8.61353555592359e-07,True,5.477841097389913e-11
100,2,True,0.29911595582962036,0.29911595582962036,0.29911595582962036,1.0742263793945312,1.0742263793945312,1.0742263793945312,0.0,0.06272432208061218,0,1.5101165899977786e-06,True,2.403355986446698e-11
105,2,True,0.299100786447525,0.299100786447525,0.299100786447525,1.0742226839065552,1.0742226839065552,1.0742226839065552,0.0,0.0640353262424469,0,4.3962209872461244e-08,True,1.751031764030131e-09
110,2,True,0.2990924119949341,0.2990924119949341,0.2990924119949341,1.0742206573486328,1.0742206573486328,1.0742206573486328,0.0,0.06544483453035355,0,8.651890084365732e-07,True,1.3773132634398166e-10
115,2,True,0.2991063594818115,0.2991063594818115,0.2991063594818115,1.0742239952087402,1.0742239952087402,1.0742239952087402,0.0,0.06664678454399109,0,5.710464847652474e-07,True,1.2128108517472924e-09
120,2,True,0.29909858107566833,0.29909858107566833,0.29909858107566833,1.0742220878601074,1.0742220878601074,1.0742220878601074,0.0,0.06784634292125702,0,2.000828374093544e-07,True,1.5063379432689317e-09
