item_idx,l0_before_ref,l0_after,l1_before_ref,l1_after,l2_before_ref,l2_after
0,20,19,119,43,118,116
1,55,61,119,95,58,199
2,61,55,14,56,233,226
3,19,43,78,37,199,164
4,10,8,94,55,222,51
5,55,8,16,120,52,83
6,7,7,91,41,105,30
7,27,52,86,34,60,0
8,6,6,76,71,123,46
9,6,14,89,113,33,96
10,61,12,56,99,71,52
11,38,6,31,93,92,192
12,56,13,14,80,200,192
13,56,13,6,91,62,93
14,13,0,39,57,169,71
15,36,35,76,23,198,21
16,21,63,67,81,242,92
17,7,8,89,5,29,133
18,2,45,12,117,3,112
19,7,7,24,56,162,45
20,10,8,31,54,9,195
21,8,7,103,14,170,182
22,47,39,12,116,79,177
23,61,55,41,84,186,132
24,57,0,59,119,170,102
25,10,8,67,82,222,148
26,53,51,63,92,212,105
27,2,41,75,22,220,181
28,11,41,71,47,251,206
29,7,7,4,77,55,88
30,33,2,86,11,48,133
31,55,61,100,124,93,229
32,2,41,102,126,7,59
33,7,7,95,82,82,64
34,53,26,78,36,237,238
35,28,23,104,86,59,72
36,9,18,73,86,202,140
37,24,17,61,114,118,177
38,53,22,5,66,238,53
39,13,24,110,57,20,98
40,43,9,124,9,79,45
41,43,27,59,0,86,34
42,29,5,2,61,220,76
43,47,39,11,93,28,252
44,7,7,68,58,62,122
45,9,18,49,94,163,165
46,61,55,72,50,210,0
47,18,37,27,105,92,131
48,7,17,50,122,2,186
49,11,13,50,53,118,129
50,10,61,95,40,189,231
51,56,13,113,106,114,197
52,59,59,38,43,176,245
53,9,18,100,117,10,127
54,49,15,118,70,203,170
55,13,22,110,42,43,168
56,9,18,43,126,20,232
57,62,62,78,80,49,217
58,34,16,100,69,44,31
59,9,18,60,22,126,207
60,5,49,103,59,237,85
61,24,46,12,43,208,217
62,7,55,26,123,175,85
63,16,48,29,38,143,253
64,16,48,102,64,36,56
65,23,50,78,67,241,159
66,28,51,11,102,239,177
67,16,48,76,19,23,87
68,5,16,60,46,152,217
69,4,24,46,29,59,191
70,9,18,98,108,34,51
71,30,5,58,61,100,169
72,39,4,127,36,158,8
73,8,26,101,63,248,103
74,2,36,100,110,34,54
75,55,62,108,112,34,161
76,55,61,125,118,82,69
77,14,14,89,73,214,162
78,59,59,82,35,254,247
79,37,55,119,112,68,122
80,44,28,112,78,119,182
81,38,6,23,95,194,24
82,6,44,56,64,109,238
83,37,32,94,28,233,144
84,43,9,12,76,3,30
85,9,18,4,41,145,79
86,8,44,50,84,163,238
87,58,29,122,46,174,152
88,43,11,20,126,78,227
89,12,61,125,66,103,188
90,58,29,126,60,129,251
91,61,55,64,1,170,230
92,16,48,44,39,181,248
93,52,17,71,83,33,241
94,16,48,61,38,186,55
95,0,24,30,30,133,192
96,24,15,98,3,251,237
97,8,22,45,123,141,91
98,16,48,92,82,198,100
99,43,48,64,73,48,132
100,38,34,110,37,241,71
101,21,48,47,30,248,165
102,36,52,35,57,166,140
103,35,24,29,117,220,173
104,34,49,89,37,116,88
105,16,48,19,71,83,112
106,51,52,116,85,141,31
107,38,41,84,48,7,126
108,52,17,38,103,10,244
109,16,48,71,125,36,99
110,28,18,11,57,105,150
111,49,15,36,59,248,226
112,33,2,43,28,19,38
113,56,13,8,74,11,228
114,56,32,101,51,190,64
115,21,13,123,66,29,78
116,9,18,61,38,131,103
117,56,13,107,85,12,177
118,56,2,122,39,17,26
119,56,20,58,27,44,215
120,61,47,90,112,194,126
121,44,28,29,24,108,159
122,52,17,101,118,175,206
123,9,18,121,107,145,105
124,61,46,27,117,235,152
125,9,7,124,39,142,176
126,5,45,121,113,18,102
127,5,45,66,56,61,231
128,0,46,65,40,168,124
129,18,10,48,12,152,84
130,53,51,92,47,238,41
131,1,1,114,42,66,169
132,17,54,13,103,143,135
133,1,1,68,6,28,189
134,63,57,3,62,5,197
135,17,54,27,1,213,73
136,1,1,90,48,233,208
137,17,54,113,59,61,246
138,15,35,103,70,36,71
139,34,49,45,47,178,124
140,38,6,109,106,184,116
141,16,48,92,33,139,120
142,29,12,27,121,134,227
143,16,48,114,24,19,152
144,34,49,23,79,13,77
145,22,57,6,72,152,179
146,20,1,52,37,175,203
147,52,25,123,77,79,246
148,61,55,108,88,117,106
149,4,24,114,62,208,125
150,16,48,64,51,135,0
151,16,48,29,38,152,254
152,17,54,34,127,230,184
153,38,6,10,58,154,58
154,19,33,70,32,102,189
155,19,33,20,16,202,104
156,58,29,38,105,168,37
157,12,53,44,48,73,234
158,16,48,100,1,162,173
159,38,6,112,33,179,1
160,38,6,84,63,64,159
161,38,6,74,38,2,230
162,38,6,84,121,192,94
163,1,6,123,6,38,122
164,38,6,74,90,151,176
165,38,6,85,6,94,66
166,6,44,85,96,202,234
167,6,44,78,96,151,212
168,38,6,58,107,42,115
169,1,54,21,79,72,100
170,1,1,85,66,83,114
171,6,44,43,21,51,60
172,19,33,38,115,28,170
173,26,43,49,100,147,56
174,10,8,86,32,209,122
175,33,2,43,28,19,38
176,55,36,7,68,225,111
177,10,61,58,2,189,28
178,26,42,42,2,25,204
179,53,51,30,74,55,65
180,39,4,42,2,4,225
181,27,27,117,28,83,158
182,22,19,65,47,246,97
183,11,31,2,126,175,129
184,62,62,13,103,223,230
185,61,55,78,67,122,6
186,9,18,18,86,222,114
187,9,18,21,21,236,11
188,20,50,26,21,86,72
189,20,42,61,119,61,172
190,9,18,124,104,187,150
191,9,18,27,90,130,119
192,61,55,4,124,191,225
193,56,6,47,35,60,246
194,44,28,9,98,26,167
195,9,18,91,90,3,197
196,9,18,69,19,255,99
197,27,27,73,95,78,191
198,9,18,91,41,195,211
199,52,49,10,95,210,42
200,17,54,16,92,46,100
201,44,32,127,98,218,70
202,17,54,65,55,219,27
203,9,18,74,98,59,226
204,20,8,52,51,195,177
205,44,28,84,121,114,125
206,31,32,101,105,209,103
207,51,52,68,46,86,190
208,62,16,11,32,63,112
209,53,30,23,9,26,105
210,9,18,38,65,246,245
211,22,18,62,84,69,145
212,1,54,75,70,152,131
213,58,1,51,75,30,118
214,1,14,91,78,151,62
215,1,54,42,97,202,230
216,55,54,7,83,169,232
217,40,54,40,87,90,250
218,1,1,10,71,166,144
219,1,1,52,12,83,159
220,1,1,32,80,251,237
221,1,1,52,27,213,200
222,35,9,24,13,168,152
223,1,1,16,47,211,100
224,61,55,26,22,151,209
225,1,1,84,38,51,85
226,48,57,66,30,40,26
227,48,42,9,80,81,84
228,58,57,38,104,232,80
229,51,40,126,109,96,115
230,51,5,96,104,185,118
231,48,57,4,13,204,235
232,27,27,32,14,199,148
233,60,58,33,61,88,58
234,48,57,85,120,239,95
235,48,57,107,47,220,12
236,53,51,105,93,51,196
237,25,55,85,83,164,149
238,8,59,17,14,163,230
239,58,29,112,6,152,80
240,18,19,79,61,205,226
241,60,40,92,25,66,161
242,11,0,3,111,32,89
243,62,62,18,115,85,93
244,54,10,123,34,232,118
245,6,44,106,59,113,238
246,54,10,38,97,225,132
247,9,25,66,55,208,198
248,51,40,16,115,214,117
249,42,62,46,123,222,212
250,43,11,53,114,27,192
251,5,16,102,62,111,165
252,27,44,62,117,199,191
253,43,39,21,25,251,79
254,58,29,119,31,24,205
255,5,49,6,104,181,151
256,49,25,69,30,139,74
257,1,20,123,120,195,215
258,4,24,64,73,13,27
259,59,21,14,55,213,218
260,11,31,121,41,183,116
261,26,42,109,7,199,50
262,3,0,24,13,12,208
263,11,31,106,113,154,160
264,11,31,72,32,79,19
265,45,47,106,113,247,6
266,50,36,18,44,155,109
267,39,4,103,33,110,185
268,39,4,72,60,138,227
269,49,15,64,35,134,156
270,8,9,51,55,119,134
271,10,8,57,35,62,162
272,51,5,96,17,147,39
273,53,51,86,58,20,122
274,10,8,67,115,95,183
275,39,4,117,33,204,169
276,45,4,115,124,3,236
277,30,5,113,1,15,227
278,7,7,14,98,96,83
279,45,4,12,89,67,234
280,33,2,102,126,243,168
281,30,5,30,70,169,143
282,10,8,19,12,145,0
283,39,5,70,14,53,91
284,32,20,95,116,64,82
285,8,26,67,67,1,65
286,33,7,111,49,48,238
287,30,5,94,126,127,44
288,50,36,80,70,174,195
289,45,53,38,11,33,44
290,30,5,14,108,62,178
291,41,56,22,117,17,100
292,24,25,75,30,201,34
293,36,32,61,49,2,58
294,29,12,4,122,201,169
295,41,56,112,81,139,89
296,11,31,5,52,95,140
297,23,63,124,56,20,164
298,41,56,14,54,7,169
299,3,0,79,103,243,152
300,3,0,54,65,12,111
301,44,27,22,46,93,182
302,3,0,60,28,38,192
303,41,56,117,27,81,8
304,41,56,68,96,113,197
305,36,35,120,87,38,69
306,46,25,27,30,78,167
307,41,56,65,46,207,66
308,28,23,115,5,81,160
309,37,21,124,37,56,163
310,59,59,52,112,20,21
311,4,24,87,96,230,31
312,4,24,53,49,211,140
313,59,59,11,31,167,192
314,26,42,124,64,19,238
315,26,42,107,87,76,195
316,20,10,26,5,204,248
317,10,8,97,8,164,119
318,27,27,35,73,249,170
319,49,38,115,87,167,242
320,49,15,35,126,35,121
321,61,55,46,123,189,107
322,16,2,19,15,13,120
323,5,49,74,56,145,214
324,46,45,55,3,139,89
325,25,8,119,85,236,190
326,43,25,20,122,39,197
327,28,23,55,3,129,138
328,46,34,126,44,190,22
329,28,25,18,36,252,40
330,3,37,88,79,2,168
331,38,6,82,51,162,73
332,25,25,18,112,123,191
333,2,36,56,25,85,75
334,33,51,50,81,117,41
335,46,6,6,117,104,154
336,11,63,70,36,192,239
337,6,44,46,29,195,129
338,61,55,21,45,244,222
339,49,15,45,103,70,36
340,42,43,78,116,101,54
341,61,55,90,10,255,123
342,30,5,13,59,234,112
343,36,32,60,19,208,20
344,57,9,29,30,170,18
345,3,0,26,121,130,48
346,50,0,99,63,148,161
347,11,31,2,22,62,255
348,10,8,108,9,199,52
349,51,15,60,38,95,101
350,12,10,59,34,18,15
351,16,20,45,116,98,175
352,10,8,106,113,170,28
353,25,19,85,58,13,190
354,43,11,53,51,3,139
355,43,11,36,64,27,3
356,62,62,61,117,121,223
357,43,11,12,119,197,42
358,43,9,89,115,124,72
359,24,46,69,3,3,36
360,43,11,111,115,182,147
361,14,14,105,32,37,112
362,62,62,54,9,229,77
363,60,25,11,8,5,118
364,48,57,121,15,145,246
365,43,9,16,115,100,67
366,48,57,122,61,210,231
367,14,23,50,80,116,79
368,16,48,114,123,79,35
369,13,22,70,103,244,121
370,47,9,77,68,113,124
371,61,55,63,92,97,0
372,20,19,41,99,16,55
373,14,14,119,8,200,199
374,60,58,70,99,57,26
375,48,57,122,61,174,12
376,60,0,94,67,164,20
377,13,42,22,24,149,142
378,52,17,9,119,115,50
379,25,25,84,14,96,184
380,45,57,38,24,200,137
381,10,8,79,33,35,181
382,52,17,101,38,92,33
383,38,57,90,94,183,120
384,15,60,85,33,210,4
385,6,44,122,62,42,91
386,56,32,127,26,120,82
387,56,13,37,27,120,75
388,25,25,92,13,226,130
389,62,25,116,98,255,225
390,48,57,62,115,100,123
391,12,53,28,72,98,40
392,6,30,113,16,11,247
393,61,55,72,52,179,8
394,21,44,24,47,15,4
395,12,37,113,122,99,78
396,42,43,43,23,179,185
397,6,44,110,113,50,192
398,6,44,23,95,13,206
399,6,44,43,23,149,8
400,59,46,86,11,221,229
401,56,13,5,37,247,178
402,36,32,29,10,132,94
403,0,32,30,96,44,214
404,11,16,116,27,39,73
405,41,35,45,111,140,74
406,50,34,87,65,63,116
407,0,32,0,60,118,146
408,5,16,60,30,28,230
409,12,53,69,6,246,32
410,49,15,71,67,88,116
411,22,19,33,93,93,106
412,48,57,67,112,251,18
413,42,33,9,118,113,225
414,56,13,104,15,89,220
415,58,16,59,69,31,28
416,61,55,51,108,201,208
417,49,15,71,67,59,9
418,24,62,72,43,171,26
419,52,17,88,109,169,98
420,13,12,46,99,112,72
421,44,28,40,93,12,123
422,34,45,27,49,118,241
423,59,41,47,28,193,198
424,16,48,7,100,27,184
425,47,9,114,73,238,68
426,20,57,122,104,133,1
427,38,6,69,52,69,172
428,22,19,51,33,131,101
429,44,28,60,51,49,253
430,25,25,95,105,163,226
431,20,57,122,104,80,212
432,62,62,53,35,246,85
433,62,62,71,35,102,228
434,42,50,29,39,92,7
435,52,17,80,52,154,203
436,28,23,62,127,204,140
437,58,49,78,25,232,213
438,21,44,123,100,77,106
439,42,38,40,55,10,170
440,9,18,31,115,170,138
441,4,24,68,40,234,247
442,16,48,61,61,66,118
443,42,38,36,98,5,99
444,12,50,36,59,221,140
445,62,62,80,44,151,220
446,12,2,36,4,22,141
447,9,18,90,4,129,236
448,12,53,61,44,42,236
449,38,48,107,30,149,189
450,16,48,62,12,253,189
451,13,22,71,17,156,162
452,23,50,53,116,93,39
453,56,56,122,112,20,2
454,4,24,125,38,145,203
455,7,62,50,87,234,161
456,13,22,94,78,160,185
457,38,6,23,101,30,131
458,49,52,118,5,129,57
459,20,57,100,5,149,52
460,18,10,48,53,211,207
461,53,8,69,66,191,130
462,13,22,11,116,40,120
463,17,54,16,108,242,106
464,0,32,66,44,168,34
465,24,14,3,78,64,227
466,7,54,108,117,218,77
467,19,4,23,8,97,28
468,33,2,13,24,195,141
469,13,22,71,63,175,139
470,54,12,53,81,175,71
471,37,14,94,127,58,236
472,58,29,109,40,130,55
473,58,45,116,102,76,46
474,1,1,104,44,21,99
475,14,43,115,52,79,165
476,8,7,60,21,33,205
477,16,23,57,123,77,253
478,10,8,91,125,118,137
479,39,4,0,122,141,108
480,44,53,105,65,249,115
481,44,0,105,34,21,71
482,61,55,115,39,168,163
483,33,2,85,11,48,99
484,10,8,79,33,191,222
485,59,5,51,42,72,183
486,26,42,64,42,195,202
487,47,39,98,65,135,153
488,22,19,75,32,221,238
489,7,42,112,12,97,234
490,19,33,0,126,10,44
491,48,57,124,10,128,17
492,10,8,57,125,99,5
493,19,33,41,84,12,132
494,26,42,37,11,152,85
495,43,9,93,109,234,250
496,6,44,78,72,180,241
497,52,17,110,122,161,219
498,16,37,100,112,123,164
499,57,63,36,55,180,1
500,20,42,74,66,223,3
501,15,60,25,2,35,44
502,31,60,10,36,194,130
503,41,60,59,18,70,166
504,39,22,11,88,200,143
505,31,3,91,113,5,244
506,9,10,88,25,165,157
507,31,60,103,17,36,242
508,15,54,9,36,207,250
509,15,59,3,119,76,73
510,34,60,54,35,102,66
511,15,60,91,41,235,67
512,15,34,34,87,43,180
513,31,3,7,100,55,207
514,31,3,116,20,230,116
515,36,35,113,20,217,28
516,15,51,106,47,208,141
517,48,10,53,123,250,197
518,9,18,16,88,128,133
519,9,18,32,45,177,238
520,10,8,44,94,194,186
521,41,0,104,45,160,65
522,29,35,28,108,51,65
523,51,52,94,78,76,98
524,17,54,124,84,105,89
525,38,6,119,109,190,123
526,24,25,28,84,185,181
527,13,34,33,71,12,61
528,44,28,42,127,178,175
529,4,24,7,51,79,157
530,17,38,100,87,68,186
531,21,63,73,85,100,81
532,30,57,107,123,52,174
533,46,17,10,64,222,118
534,17,59,62,17,54,73
535,61,55,106,39,77,134
536,33,2,59,38,90,195
537,5,45,55,66,101,23
538,46,28,21,126,240,202
539,5,16,89,44,186,202
540,6,24,49,14,219,152
541,56,60,113,115,34,135
542,61,55,89,1,108,191
543,52,17,115,66,43,233
544,58,31,70,73,205,29
545,32,20,108,88,198,226
546,2,41,26,63,88,206
547,22,40,54,3,162,71
548,62,38,36,125,210,120
549,14,14,10,6,175,155
550,22,19,37,80,191,151
551,62,62,67,115,253,164
552,22,19,96,26,82,116
553,52,16,70,100,216,156
554,31,47,24,16,238,171
555,42,43,35,54,14,200
556,16,48,61,110,127,58
557,35,25,69,75,182,213
558,36,35,8,34,123,233
559,59,20,19,37,53,154
560,9,18,5,41,127,189
561,48,54,53,3,84,117
562,6,44,92,46,191,32
563,9,18,61,15,7,254
564,10,8,12,117,98,39
565,58,29,20,16,129,138
566,38,6,35,9,66,220
567,48,57,2,55,64,235
568,46,34,24,6,42,218
569,55,61,75,112,187,10
570,27,27,87,55,28,52
571,54,10,24,42,231,116
572,49,15,113,104,214,230
573,46,52,17,25,63,148
574,28,8,59,101,0,187
575,58,20,59,69,12,82
576,32,20,29,22,55,196
577,43,11,46,123,118,134
578,52,11,25,46,146,154
579,38,6,102,52,214,231
580,14,14,122,75,236,231
581,23,50,71,67,19,23
582,42,43,55,19,148,52
583,62,62,34,7,136,188
584,12,53,39,35,222,156
585,19,11,103,124,191,206
586,43,11,105,115,29,212
587,43,11,25,88,196,85
588,43,11,0,110,181,179
589,14,14,82,82,203,136
590,35,9,56,127,21,235
591,46,34,104,16,89,213
592,62,62,49,7,162,210
593,19,33,124,50,190,163
594,43,9,12,120,231,42
595,61,55,27,88,151,227
596,62,43,88,74,114,76
597,42,43,121,63,138,94
598,54,10,42,106,121,164
599,48,2,69,90,142,2
600,54,10,127,30,9,180
601,41,18,67,57,60,181
602,18,35,118,36,200,150
603,56,13,54,32,223,182
604,56,51,76,82,244,126
605,9,18,107,65,194,231
606,56,13,22,15,102,148
607,56,13,122,46,58,73
608,4,52,79,45,112,94
609,56,13,20,7,104,44
610,52,17,46,29,43,111
611,49,15,67,78,23,74
612,36,45,121,63,154,226
613,38,34,13,37,188,77
614,5,45,76,102,43,22
615,43,9,109,90,221,153
616,52,17,116,103,186,94
617,0,32,12,40,25,10
618,17,54,127,66,227,170
619,38,6,125,90,209,236
620,24,16,13,49,185,132
621,4,35,37,49,227,82
622,0,46,90,1,0,150
623,35,35,33,110,240,81
624,5,12,126,37,201,46
625,53,51,9,66,196,172
626,0,46,103,106,74,255
627,11,29,116,117,232,6
628,32,20,46,29,43,131
629,16,48,88,73,91,85
630,43,25,13,8,136,84
631,51,52,60,36,221,245
632,22,19,42,32,22,132
633,52,7,60,94,118,73
634,63,63,4,3,158,33
635,52,17,36,86,127,33
636,55,61,34,61,239,226
637,30,5,2,5,151,176
638,47,39,78,88,147,144
639,55,9,118,69,50,25
640,49,15,59,103,22,81
641,13,56,43,71,42,126
642,29,17,11,86,6,62
643,19,37,19,51,182,84
644,24,44,100,84,208,30
645,61,55,4,93,107,2
646,50,36,105,100,172,6
647,61,12,88,4,135,71
648,19,33,105,4,21,125
649,61,55,81,50,210,152
650,62,62,111,1,123,57
651,42,43,42,32,198,230
652,22,19,80,106,5,214
653,42,11,118,123,167,173
654,42,43,28,83,105,48
655,46,24,107,60,63,12
656,58,44,100,117,206,127
657,5,16,89,86,73,139
658,5,45,7,16,222,219
659,62,62,85,114,86,226
660,42,38,112,67,29,167
661,39,4,49,74,179,163
662,45,47,51,33,43,167
663,30,39,123,46,182,229
664,33,2,51,1,137,19
665,39,4,103,33,76,212
666,30,5,89,53,163,37
667,45,47,82,2,27,66
668,39,4,30,15,135,112
669,8,27,112,43,136,175
670,33,2,61,61,210,142
671,50,36,80,78,54,75
