step,layer_idx,shared,theta_min,theta_max,theta_mean,c_min,c_max,c_mean,c_std,mu_d,boundary_hits,theta_grad_norm,theta_grad_finite,anchor_loss
0,2,False,0.2991032302379608,0.2991032302379608,0.2991032302379608,1.074223279953003,1.074223279953003,1.074223279953003,0.0,0.014283798635005951,0,4.995232912649543e-23,True,0.0
5,2,False,0.2990974485874176,0.2991054058074951,0.299102783203125,1.0742218494415283,1.0742237567901611,1.0742231607437134,2.860243739633006e-07,0.037506334483623505,0,5.34821332086207e-09,True,5.778474920781207e-10
10,2,False,0.29904431104660034,0.2991066575050354,0.2991015315055847,1.0742088556289673,1.0742241144180298,1.0742228031158447,1.4600478834836395e-06,0.055032264441251755,0,2.258034452169031e-08,True,5.408241077198284e-10
15,2,False,0.2984793186187744,0.29911306500434875,0.2990781366825104,1.074070692062378,1.074225664138794,1.0742170810699463,2.2207515939953737e-05,0.11550280451774597,0,9.396464199641491e-07,True,4.219270710592582e-09
20,2,False,0.2969885766506195,0.29929664731025696,0.2990245223045349,1.0737061500549316,1.074270486831665,1.0742040872573853,7.524066313635558e-05,0.21410176157951355,0,2.3240667865877237e-05,True,1.757246366196341e-07
25,2,False,0.2951202690601349,0.29961103200912476,0.2989831268787384,1.0732492208480835,1.0743473768234253,1.0741939544677734,0.00015017871919553727,0.2502320408821106,0,4.208526296165494e-05,True,1.088620706468646e-06
30,2,False,0.29233255982398987,0.29985588788986206,0.2989254593849182,1.0725669860839844,1.0744073390960693,1.074179768562317,0.00024507130729034543,0.14001134037971497,0,5.43142286957737e-06,True,7.929162961772818e-07
35,2,False,0.2902926802635193,0.30032429099082947,0.2988767623901367,1.0720677375793457,1.074521780014038,1.0741678476333618,0.0002995498070959002,0.07577214390039444,0,8.033755283567325e-06,True,1.0321522125877891e-07
40,2,False,0.28916606307029724,0.30009400844573975,0.2989182472229004,1.0717920064926147,1.0744655132293701,1.0741779804229736,0.0003039323491975665,0.051983945071697235,0,8.157276445489758e-06,True,2.982949638408172e-07
45,2,False,0.28889918327331543,0.3010399341583252,0.2989598512649536,1.0717265605926514,1.0746967792510986,1.074188232421875,0.00028933651628904045,0.04215901345014572,0,7.73683405204668e-06,True,1.844321104726987e-07
50,2,False,0.2894122898578644,0.3008188009262085,0.2989785075187683,1.071852207183838,1.0746426582336426,1.074192762374878,0.00025236044893972576,0.03979530185461044,0,6.7455482852658165e-06,True,9.015975166448698e-08
55,2,False,0.2904690206050873,0.3010731041431427,0.2990074157714844,1.072110891342163,1.074704885482788,1.074199914932251,0.00020842910453211516,0.041420482099056244,0,5.562990294946489e-06,True,1.0559510599250643e-07
60,2,False,0.2919549345970154,0.30069485306739807,0.2990352511405945,1.072474718093872,1.0746123790740967,1.0742067098617554,0.00015995277499314398,0.0425618477165699,0,4.262241623611528e-06,True,2.7030802485228378e-08
65,2,False,0.293605238199234,0.3011053800582886,0.29906076192855835,1.0728785991668701,1.0747127532958984,1.074212908744812,0.00011238855222472921,0.044946953654289246,0,2.9891773600230335e-06,True,3.5396624298300594e-08
70,2,False,0.29528868198394775,0.30056798458099365,0.29908299446105957,1.0732903480529785,1.0745813846588135,1.0742182731628418,7.259906124090776e-05,0.04679078981280327,0,1.925934361753198e-06,True,7.0152408326862314e-09
75,2,False,0.2968466281890869,0.3001739978790283,0.29909878969192505,1.0736713409423828,1.0744850635528564,1.0742220878601074,4.489374259719625e-05,0.04922953620553017,0,1.1874493367676294e-06,True,1.010635930498438e-08
80,2,False,0.29813575744628906,0.30046215653419495,0.2991100549697876,1.0739867687225342,1.074555516242981,1.0742249488830566,3.5776960430666804e-05,0.05250899866223335,0,9.466968112062723e-07,True,3.090170119790514e-09
85,2,False,0.2983500361442566,0.30037781596183777,0.2991127073764801,1.074039101600647,1.0745348930358887,1.074225664138794,3.668851059046574e-05,0.05571730062365532,0,9.711245372908888e-07,True,1.6052505991126509e-09
90,2,False,0.29856961965560913,0.3002847135066986,0.29912203550338745,1.0740927457809448,1.0745121240615845,1.0742278099060059,3.2924006518442184e-05,0.059712450951337814,0,8.787645892131284e-07,True,4.137828746308969e-09
95,2,False,0.2987523078918457,0.3001444637775421,0.2991082966327667,1.0741374492645264,1.0744779109954834,1.0742244720458984,3.036892303498462e-05,0.06114700064063072,0,8.025078546084395e-07,True,8.483515001600495e-10
100,2,False,0.29870885610580444,0.3000536262989044,0.2991082966327667,1.0741268396377563,1.0744556188583374,1.0742244720458984,2.86319809674751e-05,0.06355737149715424,0,7.565611691535164e-07,True,7.258473266880117e-10
105,2,False,0.29873162508010864,0.29987654089927673,0.2991015613079071,1.0741324424743652,1.0744123458862305,1.0742228031158447,2.4999817469506525e-05,0.06570134311914444,0,6.610788439882447e-07,True,2.3127171289161197e-09
110,2,False,0.2987522482872009,0.29960399866104126,0.29910826683044434,1.0741374492645264,1.0743457078933716,1.0742244720458984,1.9477120076771826e-05,0.06547136604785919,0,5.180512214332819e-07,True,5.202306918583588e-10
115,2,False,0.29880136251449585,0.2993195652961731,0.2991015911102295,1.074149489402771,1.0742762088775635,1.0742229223251343,1.8101429304806516e-05,0.06714014708995819,0,4.788140910523243e-07,True,1.2928423887004215e-09
120,2,False,0.2988288402557373,0.2993265390396118,0.29910099506378174,1.0741561651229858,1.0742778778076172,1.0742226839065552,1.8345495846006088e-05,0.06855359673500061,0,4.865316290250582e-07,True,1.8885413233249437e-09
125,2,False,0.29887229204177856,0.2992492616176605,0.2990986704826355,1.0741667747497559,1.0742590427398682,1.0742220878601074,1.37272572828806e-05,0.06879840791225433,0,3.645728927836111e-07,True,1.3108165664021953e-09
130,2,False,0.2988906800746918,0.2993866503238678,0.2990944981575012,1.0741713047027588,1.0742926597595215,1.074221134185791,1.856476410466712e-05,0.07232853770256042,0,4.907477030611382e-07,True,2.74372169428716e-09
135,2,False,0.2989097833633423,0.29937344789505005,0.2990984618663788,1.0741760730743408,1.074289321899414,1.0742220878601074,1.6719894119887613e-05,0.07552238553762436,0,4.416206303254556e-07,True,3.1634794783741427e-09
140,2,False,0.2988317012786865,0.299302875995636,0.2990840971469879,1.0741568803787231,1.0742721557617188,1.074218511581421,1.927839548443444e-05,0.07708732783794403,0,5.17575503604964e-07,True,4.9346433605990114e-09
145,2,False,0.29884281754493713,0.2993457317352295,0.299096941947937,1.0741596221923828,1.0742826461791992,1.0742217302322388,1.8216724129160866e-05,0.08223724365234375,0,4.839228855948323e-07,True,5.467323926922063e-09
150,2,False,0.2987947165966034,0.2993895709514618,0.2990936040878296,1.0741479396820068,1.0742933750152588,1.074220895767212,2.3290533135877922e-05,0.08415523171424866,0,6.12323037614551e-07,True,1.1508052288888848e-08
155,2,False,0.29877352714538574,0.2992996275424957,0.2990882396697998,1.0741426944732666,1.0742712020874023,1.0742195844650269,2.4085740733426064e-05,0.08805938065052032,0,6.428835862883762e-07,True,1.2315155117903487e-08
160,2,False,0.2987794876098633,0.2993614673614502,0.29908570647239685,1.0741441249847412,1.0742864608764648,1.074218988418579,2.5387807909282856e-05,0.09156359732151031,0,6.706169115606287e-07,True,1.848792763325946e-08
165,2,False,0.29877880215644836,0.2994786500930786,0.29909658432006836,1.074143886566162,1.074315071105957,1.0742216110229492,3.0561903258785605e-05,0.09519092738628387,0,8.101034731756481e-07,True,2.118541964080123e-08
170,2,False,0.29856961965560913,0.2993747293949127,0.29907554388046265,1.0740927457809448,1.0742896795272827,1.074216604232788,2.9454246032400988e-05,0.09927906841039658,0,7.81197416881709e-07,True,2.656196862460547e-08
175,2,False,0.2987477779388428,0.2995602786540985,0.2990909218788147,1.0741363763809204,1.0743350982666016,1.0742201805114746,3.122234556940384e-05,0.09960190206766129,0,8.243069769439023e-07,True,3.3585546788117426e-08
180,2,False,0.29876086115837097,0.29948124289512634,0.2990879416465759,1.0741395950317383,1.0743157863616943,1.0742194652557373,2.9752374757663347e-05,0.1036481112241745,0,7.874685953436045e-07,True,4.340231285482332e-08
185,2,False,0.29863864183425903,0.29946672916412354,0.29908061027526855,1.074109673500061,1.0743122100830078,1.0742177963256836,3.190441566403024e-05,0.1051066517829895,0,8.443733230373996e-07,True,4.325796254533998e-08
190,2,False,0.29862484335899353,0.29952749609947205,0.2990989685058594,1.0741063356399536,1.074326992034912,1.074222207069397,3.1560397474095225e-05,0.10828264057636261,0,8.543638847435325e-07,True,6.462528290285263e-08
195,2,False,0.2986956834793091,0.29961061477661133,0.299091637134552,1.0741236209869385,1.0743472576141357,1.0742204189300537,3.27558045682963e-05,0.10815896093845367,0,8.636928563648191e-07,True,6.557009157859284e-08
200,2,False,0.29846400022506714,0.2994980216026306,0.29906412959098816,1.0740669965744019,1.074319839477539,1.0742137432098389,3.828757326118648e-05,0.11475491523742676,0,1.0043364678800354e-06,True,9.488180552352787e-08
205,2,False,0.2987208664417267,0.2994936406612396,0.29909515380859375,1.0741298198699951,1.0743186473846436,1.0742213726043701,3.374236257513985e-05,0.1153421550989151,0,9.25239317788389e-07,True,9.337550466170796e-08
210,2,False,0.2985488474369049,0.2996692359447479,0.29906514286994934,1.0740877389907837,1.0743615627288818,1.074213981628418,3.701619789353572e-05,0.11987480521202087,0,9.834502180050788e-07,True,1.2406266591824533e-07
215,2,False,0.2986053228378296,0.29944539070129395,0.299065500497818,1.074101448059082,1.0743069648742676,1.074213981628418,3.4603654057718813e-05,0.12238311767578125,0,9.11414524762341e-07,True,1.3206684457145457e-07
220,2,False,0.2986323833465576,0.29955992102622986,0.299075722694397,1.0741081237792969,1.0743348598480225,1.074216604232788,3.7380214052973315e-05,0.12202313542366028,0,9.84492244693504e-07,True,1.5562045518890955e-07
225,2,False,0.2984459102153778,0.29952770471572876,0.29905784130096436,1.0740625858306885,1.074326992034912,1.0742121934890747,3.879661744576879e-05,0.1245122179389,0,1.0431811683135202e-06,True,1.8103857257756317e-07
230,2,False,0.2985285818576813,0.2994583547115326,0.2990783452987671,1.074082851409912,1.074310064315796,1.0742172002792358,3.89252818422392e-05,0.12426876276731491,0,1.0549933965354924e-06,True,2.1508076031295786e-07
235,2,False,0.2985953390598297,0.2995811998844147,0.2990570068359375,1.074099063873291,1.0743401050567627,1.0742119550704956,4.31906410085503e-05,0.12824462354183197,0,1.1488190386622448e-06,True,2.4349330374207057e-07
240,2,False,0.29852068424224854,0.2994330823421478,0.29905304312705994,1.0740808248519897,1.0743038654327393,1.0742111206054688,3.9895287045510486e-05,0.13046103715896606,0,1.0864617857667218e-06,True,2.413258357591985e-07
245,2,False,0.2983914017677307,0.2995516359806061,0.29906636476516724,1.0740492343902588,1.0743329524993896,1.074214220046997,4.3139298213645816e-05,0.13295656442642212,0,1.1897170991731226e-06,True,3.319435961657291e-07
250,2,False,0.29832813143730164,0.2995741367340088,0.2990453839302063,1.0740337371826172,1.074338436126709,1.074209213256836,5.047267404734157e-05,0.1363375037908554,0,1.3676950003547424e-06,True,3.0625679414697515e-07
255,2,False,0.2981598675251007,0.2999943494796753,0.29904499650001526,1.0739926099777222,1.0744411945343018,1.0742090940475464,4.959804573445581e-05,0.13677823543548584,0,1.3185338418191228e-06,True,3.758691775601619e-07
