epoch,loss,recon,vq,c_l0,c_l1,c_l2,theta_l0,theta_l1,theta_l2
0,0.0008570814607082866,0.00019279176776763052,0.0006642897038545925,1.25,1.25,1.25,0.0,0.0,0.0
1,0.0002560927030572202,0.00015230540157062933,0.00010378730221418663,1.25,1.25,1.25,0.0,0.0,0.0
2,0.0002033460565144196,0.00015089904409251175,5.244701205810998e-05,1.25,1.25,1.25,0.0,0.0,0.0
3,0.00018105736962752416,0.00015066440391819924,3.0392965800274397e-05,1.25,1.25,1.25,0.0,0.0,0.0
4,0.0001688544944045134,0.00015067322165123186,1.818127216210996e-05,1.25,1.25,1.25,0.0,0.0,0.0
5,0.00016875642468221485,0.00015058451681397854,1.8171907413488952e-05,1.25,1.25,1.25,0.0,0.0,0.0
6,0.0001641628536162898,0.00015074598995852285,1.3416864021564834e-05,1.25,1.25,1.25,0.0,0.0,0.0
7,0.00016342517483280972,0.00015063255050336012,1.279262505704537e-05,1.25,1.25,1.25,0.0,0.0,0.0
8,0.00015784882780280895,0.00015056652991916054,7.282295769073244e-06,1.25,1.25,1.25,0.0,0.0,0.0
9,0.00015797938249306753,0.0001504689673311077,7.510416230616101e-06,1.25,1.25,1.25,0.0,0.0,0.0
10,0.000155490492034005,0.0001505397172877565,4.9507757466926705e-06,1.25,1.25,1.25,0.0,0.0,0.0
11,0.0001562718316563405,0.00015060630248626695,5.665529681664339e-06,1.25,1.25,1.25,0.0,0.0,0.0
12,0.00015586426088702864,0.0001502192702901084,5.644991324516013e-06,1.25,1.25,1.25,0.0,0.0,0.0
13,0.00015501333691645414,0.0001502395563875325,4.773779528477462e-06,1.25,1.25,1.25,0.0,0.0,0.0
14,0.00015339234087150544,0.0001491365459514782,4.2557955794109145e-06,1.25,1.25,1.25,0.0,0.0,0.0
15,0.0001508838242443744,0.00014672725446871482,4.156570275881677e-06,1.25,1.25,1.25,0.0,0.0,0.0
16,0.00014744311338290572,0.00014273432971094734,4.70878405849362e-06,1.25,1.25,1.25,0.0,0.0,0.0
17,0.00014482390688499435,0.00014045389543753116,4.370010503862431e-06,1.25,1.25,1.25,0.0,0.0,0.0
18,0.00014325580195873044,0.00013996948910062202,3.2863129376892176e-06,1.25,1.25,1.25,0.0,0.0,0.0
19,0.00014295011933427305,0.00013946184262749738,3.488275910967786e-06,1.25,1.25,1.25,0.0,0.0,0.0
20,0.00014256623762776144,0.00013913774091633968,3.4284991215827176e-06,1.25,1.25,1.25,0.0,0.0,0.0
21,0.00014160290811560117,0.00013867250017938205,2.9304080726433313e-06,1.25,1.25,1.25,0.0,0.0,0.0
22,0.00014044487397768535,0.0001381475136440713,2.297361049841129e-06,1.25,1.25,1.25,0.0,0.0,0.0
23,0.0001400431319780182,0.00013794189362670295,2.101239590501791e-06,1.25,1.25,1.25,0.0,0.0,0.0
24,0.0001396983592712786,0.00013772309685009532,1.975261619691082e-06,1.25,1.25,1.25,0.0,0.0,0.0
25,0.0001397251253365539,0.0001376394669932779,2.0856596222529334e-06,1.25,1.25,1.25,0.0,0.0,0.0
26,0.00013930216737207958,0.00013743966992478817,1.8624987092152879e-06,1.25,1.25,1.25,0.0,0.0,0.0
27,0.0001390218203596305,0.00013738066554651595,1.6411558192430675e-06,1.25,1.25,1.25,0.0,0.0,0.0
28,0.00013895906886318699,0.00013732893130509184,1.6301385301176197e-06,1.25,1.25,1.25,0.0,0.0,0.0
29,0.00013883634674130007,0.00013716069151996634,1.6756555055508215e-06,1.25,1.25,1.25,0.0,0.0,0.0
30,0.00013874897194909863,0.00013708251353818923,1.666457677629296e-06,1.25,1.25,1.25,0.0,0.0,0.0
31,0.0001391286750731524,0.00013701204807148315,2.1166272517803008e-06,1.25,1.25,1.25,0.0,0.0,0.0
32,0.0001396213127009105,0.0001369875972159207,2.6337149620303536e-06,1.25,1.25,1.25,0.0,0.0,0.0
33,0.00014011230305186473,0.00013682482604053802,3.287475897195691e-06,1.25,1.25,1.25,0.0,0.0,0.0
34,0.0001405586866894737,0.00013661656412295998,3.942122145872418e-06,1.25,1.25,1.25,0.0,0.0,0.0
35,0.00014255216665333138,0.0001364019735774491,6.15019391716487e-06,1.25,1.25,1.25,0.0,0.0,0.0
36,0.00014261653923313132,0.00013622396290884352,6.392575369318365e-06,1.25,1.25,1.25,0.0,0.0,0.0
