epoch,layer,residual_norm
0,0,0.033943645656108856
0,1,0.004599167499691248
0,2,0.004999371245503426
1,0,0.032657038420438766
1,1,0.0030472693033516407
1,2,0.0031781853176653385
2,0,0.032609548419713974
2,1,0.002000997541472316
2,2,0.0022638144437223673
3,0,0.032793477177619934
3,1,0.0017023284453898668
3,2,0.0017771286657080054
4,0,0.03285175934433937
4,1,0.0012429500930011272
4,2,0.001318021328188479
5,0,0.032817695289850235
5,1,0.0011906033614650369
5,2,0.0012602255446836352
6,0,0.03210878744721413
6,1,0.0010000321781262755
6,2,0.0009945844067260623
7,0,0.03226078301668167
7,1,0.0009633031440898776
7,2,0.0008608308271504939
8,0,0.03210951015353203
8,1,0.0009019658900797367
8,2,0.0006945050554350019
9,0,0.031516749411821365
9,1,0.0007751553202979267
9,2,0.0007191661861725152
10,0,0.03180035576224327
10,1,0.0008066241862252355
10,2,0.0006593469297513366
11,0,0.03140757605433464
11,1,0.0007600971730425954
11,2,0.0006419664714485407
12,0,0.03170683979988098
12,1,0.0006590657285414636
12,2,0.000686764542479068
13,0,0.03269499912858009
13,1,0.0007500763749703765
13,2,0.0005930035258643329
14,0,0.032340679317712784
14,1,0.0007043270161375403
14,2,0.0005917978123761714
15,0,0.033387526869773865
15,1,0.0007531119044870138
15,2,0.0005803901003673673
16,0,0.032139554619789124
16,1,0.0007392408442683518
16,2,0.0005780853680334985
17,0,0.03191983327269554
17,1,0.0007189743337221444
17,2,0.0005991755169816315
18,0,0.03314247727394104
18,1,0.0007130401791073382
18,2,0.0005950818303972483
19,0,0.032488513737916946
19,1,0.0006551289116032422
19,2,0.0005240754107944667
20,0,0.03341955691576004
20,1,0.0006624955567531288
20,2,0.0005535741220228374
21,0,0.032704807817935944
21,1,0.0005965650780126452
21,2,0.0005187742062844336
22,0,0.03302663564682007
22,1,0.0005798632046207786
22,2,0.000486809469293803
23,0,0.031208978965878487
23,1,0.000587058428209275
23,2,0.0005085219163447618
24,0,0.032871223986148834
24,1,0.0005983448936603963
24,2,0.0005128175835125148
25,0,0.0325891338288784
25,1,0.0005539502017199993
25,2,0.00047324856859631836
26,0,0.030893869698047638
26,1,0.0005596642731688917
26,2,0.0005173531826585531
27,0,0.031686458736658096
27,1,0.000532852835021913
27,2,0.00048440543469041586
28,0,0.03212277963757515
28,1,0.0005857204087078571
28,2,0.0005611867527477443
29,0,0.03164020925760269
29,1,0.0005100076086819172
29,2,0.00048136632540263236
