epoch,loss,recon,vq,c_l0,c_l1,c_l2,theta_l0,theta_l1,theta_l2
0,0.000857061029819306,0.00019239215616835282,0.0006646688649198041,1.2464714050292969,1.247307538986206,1.2500090599060059,-0.009409953840076923,-0.007180109620094299,2.4366347133764066e-05
1,0.0002655878866789863,0.00015226544855977408,0.00011332243702781853,1.2456822395324707,1.2467098236083984,1.2500075101852417,-0.011513848789036274,-0.008773626759648323,2.0040266463183798e-05
2,0.0002049351984169334,0.0001508909699623473,5.4044227726990354e-05,1.2454752922058105,1.246551275253296,1.2500075101852417,-0.012066050432622433,-0.009196867235004902,1.995719321712386e-05
3,0.0001839466051023919,0.00015066426567500457,3.328233915453893e-05,1.2454078197479248,1.2464640140533447,1.250007152557373,-0.012246107682585716,-0.009429302997887135,1.9082195649389178e-05
4,0.00016962990630418063,0.00015067310887388884,1.895679865810962e-05,1.245356798171997,1.2464159727096558,1.2500070333480835,-0.012381804175674915,-0.009557412937283516,1.8820113837136887e-05
5,0.00016449226313852705,0.00015058903736644424,1.3903225681133336e-05,1.2453051805496216,1.246381402015686,1.2500070333480835,-0.012519998475909233,-0.009649505838751793,1.8852924767998047e-05
6,0.00016362479582312516,0.0001507418644905556,1.288293235575111e-05,1.2452603578567505,1.246361494064331,1.2500072717666626,-0.01263926550745964,-0.00970268715173006,1.9415980204939842e-05
7,0.0001607496138603892,0.00015062005622894502,1.012955749501998e-05,1.245225191116333,1.2463551759719849,1.2500076293945312,-0.012733107432723045,-0.009719643741846085,2.0233186660334468e-05
8,0.00015935799019644036,0.00015055463154567406,8.803358446130005e-06,1.2451980113983154,1.2463443279266357,1.2500083446502686,-0.012805745005607605,-0.009748651646077633,2.2072588762966916e-05
9,0.00015817661624168978,0.00015043190724099985,7.744710546830903e-06,1.2451705932617188,1.2463388442993164,1.2500090599060059,-0.01287851296365261,-0.009763027541339397,2.4080638468149118e-05
10,0.00015668671985622496,0.00015047177221276796,6.2149461427907225e-06,1.2451469898223877,1.2463371753692627,1.2500097751617432,-0.012941817753016949,-0.009767632000148296,2.6073599656228907e-05
11,0.00015624313891748898,0.00015044719475554302,5.795943718567287e-06,1.2451237440109253,1.246334433555603,1.2500107288360596,-0.013003503903746605,-0.009775037877261639,2.8542483050841838e-05
12,0.00015380008844658732,0.00014980405758251435,3.996029511199594e-06,1.2450988292694092,1.246333360671997,1.2500114440917969,-0.013069967739284039,-0.009777684696018696,3.043714605155401e-05
13,0.0001538643628009595,0.00014917532171239146,4.689039883487567e-06,1.2450754642486572,1.2463330030441284,1.2500112056732178,-0.01313225831836462,-0.00977877527475357,2.98089853458805e-05
14,0.0001517638607765548,0.00014755487063666806,4.208991072118806e-06,1.245051383972168,1.246330976486206,1.2500075101852417,-0.013196393847465515,-0.009783842600882053,1.9994613467133604e-05
15,0.00014954968210076914,0.00014652153549832292,3.028147727945907e-06,1.2450270652770996,1.2463304996490479,1.2500033378601074,-0.01326107606291771,-0.009785352274775505,8.802937372820452e-06
16,0.000148998689110158,0.0001459218365198467,3.0768523060942245e-06,1.2450059652328491,1.2463304996490479,1.2500007152557373,-0.013317619450390339,-0.009785134345293045,1.7364307041134452e-06
17,0.00014774006340303458,0.00014522177007165739,2.5182938315992943e-06,1.2449860572814941,1.2463313341140747,1.250000238418579,-0.013370941393077374,-0.009783118031919003,6.520388069475302e-07
18,0.0001466756577428896,0.0001445395377231762,2.1361213384807343e-06,1.2449657917022705,1.2463324069976807,1.249999761581421,-0.013424879871308804,-0.009780173189938068,-6.817439270889736e-07
19,0.00014458189471042716,0.0001427166163921356,1.8652775565897173e-06,1.244946002960205,1.2463337182998657,1.2499995231628418,-0.013477583415806293,-0.009776963852345943,-1.304175043514988e-06
20,0.00014299926770036108,0.0001411944402207155,1.8048285369332006e-06,1.244926929473877,1.2463351488113403,1.2499996423721313,-0.01352860126644373,-0.009772907011210918,-9.877413731373963e-07
21,0.00014188122368068433,0.0001401961431838572,1.6850800932388665e-06,1.2449076175689697,1.2463369369506836,1.250000238418579,-0.013579645194113255,-0.009768086485564709,4.4616001559916185e-07
