epoch,layer,transport_error
0,0,2.9166791204460196e-09
0,1,2.876711535648724e-09
1,0,2.698965495540051e-09
1,1,3.2874301059138133e-09
2,0,2.9801046075306203e-09
2,1,3.108184598588082e-09
3,0,2.6391262508695945e-09
3,1,3.1519762355713965e-09
4,0,2.8367781457205865e-09
4,1,2.841959556576512e-09
5,0,2.9486648678300753e-09
5,1,3.257824898739159e-09
6,0,2.7860265205958967e-09
6,1,2.9754445574070587e-09
7,0,2.960326650480738e-09
7,1,3.0247300220054285e-09
8,0,2.7393791679486412e-09
8,1,3.2893197055017254e-09
9,0,2.6857072121799774e-09
9,1,2.8801840912251464e-09
10,0,2.7829558657543885e-09
10,1,2.9995625983048058e-09
11,0,3.0390441274619207e-09
11,1,3.015733218703076e-09
12,0,2.685575539729257e-09
12,1,3.1459372884512504e-09
13,0,3.1371942821323273e-09
13,1,3.085923294676718e-09
14,0,2.7782858236236052e-09
14,1,3.165616435651941e-09
15,0,2.693317346924573e-09
15,1,3.008829851935957e-09
16,0,3.087060607143144e-09
16,1,3.1497571217897757e-09
17,0,2.9951412461315385e-09
17,1,3.0915432436273704e-09
18,0,2.80658718487814e-09
18,1,3.106671142560913e-09
19,0,2.6709121581092177e-09
19,1,2.6846647127598544e-09
20,0,2.6818152143448515e-09
20,1,2.9330855522147203e-09
21,0,2.7666782198565443e-09
21,1,2.995450554266199e-09
22,0,3.232136558395382e-09
22,1,3.1012168388855343e-09
23,0,2.6014308485144966e-09
23,1,3.0012217155928056e-09
24,0,2.6256261609347575e-09
24,1,3.1465894334559152e-09
25,0,3.1389968402351087e-09
25,1,2.9045219562817692e-09
26,0,2.6293069943505998e-09
26,1,2.54641929764432e-09
27,0,2.744248606134647e-09
27,1,2.900094386859564e-09
28,0,2.911482388512354e-09
28,1,3.0400553185927492e-09
29,0,2.716505687061499e-09
29,1,2.9431588277617493e-09
30,0,2.9016296032580158e-09
30,1,2.8704250087940864e-09
31,0,3.4813556482049535e-09
31,1,3.2074929379177775e-09
32,0,2.5492554733830275e-09
32,1,2.9240019294718422e-09
33,0,2.880490290735338e-09
33,1,3.0159277297769904e-09
34,0,2.400700083171614e-09
34,1,2.8652153982733353e-09
35,0,2.7411666270182877e-09
35,1,3.040106610896487e-09
36,0,2.7032165395013408e-09
36,1,2.6954838361348266e-09
37,0,2.4966944067728036e-09
37,1,2.8097255633241502e-09
38,0,2.8931366191642383e-09
38,1,2.793468567574564e-09
39,0,2.7430895332969385e-09
39,1,2.717379654626484e-09
40,0,2.615842431552551e-09
40,1,2.7411788394715586e-09
41,0,3.0058653344156028e-09
41,1,2.8853794908911823e-09
42,0,2.691199929572008e-09
42,1,3.0614633050873863e-09
43,0,2.824840583670607e-09
43,1,3.139179360900357e-09
44,0,2.462543058356914e-09
44,1,2.6934143804169253e-09
45,0,2.4009780830169802e-09
45,1,2.898445039534181e-09
46,0,2.719280356444642e-09
46,1,2.7455862028347156e-09
47,0,2.976960677969487e-09
47,1,3.0923494875878532e-09
48,0,3.0377391713187762e-09
48,1,2.941302756909181e-09
49,0,2.424566547531981e-09
49,1,2.7518238798762695e-09
50,0,2.359995976419782e-09
50,1,2.861442860435659e-09
51,0,2.705274226855181e-09
51,1,2.964458678533788e-09
52,0,2.830912393392282e-09
52,1,2.745582206031827e-09
53,0,2.4157416067538406e-09
53,1,2.6079229886732946e-09
54,0,2.9321514105618007e-09
54,1,2.813600241680092e-09
55,0,2.596957093814467e-09
55,1,2.7390756329737087e-09
56,0,2.925729214453554e-09
56,1,2.6805679897989876e-09
57,0,2.8555264819374315e-09
57,1,2.795597975335795e-09
58,0,2.783564490016488e-09
58,1,2.5678341675217098e-09
59,0,2.5601840647482277e-09
59,1,2.7199194008176164e-09
60,0,2.781431529541578e-09
60,1,3.002950110797542e-09
61,0,2.5667512559834904e-09
61,1,2.665694998071899e-09
62,0,3.052540442638474e-09
62,1,2.698930190447868e-09
63,0,2.8329720791475665e-09
63,1,2.8804623131151175e-09
64,0,2.8517743722034083e-09
64,1,2.976441981772382e-09
65,0,2.792580167110259e-09
65,1,2.8208604341273258e-09
66,0,3.1303517555869576e-09
66,1,2.699644285897307e-09
67,0,2.623382622246595e-09
67,1,2.6706314937285924e-09
68,0,2.631563855715058e-09
68,1,2.6312976242337527e-09
69,0,2.6740751835063747e-09
69,1,2.6765847316312374e-09
70,0,2.849717350983383e-09
70,1,3.0584683674561575e-09
71,0,2.7861486451286055e-09
71,1,2.796069598076656e-09
72,0,2.8230211501778513e-09
72,1,2.6229216576467707e-09
73,0,2.8474620439311593e-09
73,1,2.8721935940723142e-09
