epoch,layer,residual_norm,roundtrip_error,transport_error,boundary_hit_rate
0,0,0.03365495800971985,1.9983423804603717e-09,2.9166791204460196e-09,0.0
0,1,0.005286588333547115,2.7392207946341784e-10,2.876711535648724e-09,0.0
0,2,0.0057354941964149475,2.938706222810339e-10,,0.0
1,0,0.03282482177019119,2.128682563551365e-09,2.698965495540051e-09,0.0
1,1,0.002680649980902672,1.3253442787686254e-10,3.2874301059138133e-09,0.0
1,2,0.0032761385664343834,1.4944297188623779e-10,,0.0
2,0,0.03293272480368614,2.053354375419758e-09,2.9801046075306203e-09,0.0
2,1,0.00193340377882123,8.788603872433853e-11,3.108184598588082e-09,0.0
2,2,0.0021708861459046602,1.0572828723631744e-10,,0.0
3,0,0.03280346468091011,2.0615960050207605e-09,2.6391262508695945e-09,0.0
3,1,0.001477533020079136,7.049279909798756e-11,3.1519762355713965e-09,0.0
3,2,0.0016434434801340103,9.271351741890754e-11,,0.0
4,0,0.033345263451337814,2.018576639173375e-09,2.8367781457205865e-09,0.0
4,1,0.0012872546212747693,6.833379695425634e-11,2.841959556576512e-09,0.0
4,2,0.0011412741150707006,5.2972643632687166e-11,,0.0
5,0,0.033698249608278275,2.0357386887326356e-09,2.9486648678300753e-09,0.0
5,1,0.0012336327927187085,5.584800677471691e-11,3.257824898739159e-09,0.0
5,2,0.0009660496725700796,4.546774762248518e-11,,0.0
6,0,0.0332830548286438,2.007831012562633e-09,2.7860265205958967e-09,0.0
6,1,0.0010907017858698964,4.9449569439197205e-11,2.9754445574070587e-09,0.0
6,2,0.0015415097586810589,6.325946017016193e-11,,0.0
7,0,0.032997824251651764,2.1010124751086323e-09,2.960326650480738e-09,0.0
7,1,0.000987392500974238,4.433491768152109e-11,3.0247300220054285e-09,0.0
7,2,0.0008892184705473483,4.6431868766516615e-11,,0.0
8,0,0.033459678292274475,2.1428869789730243e-09,2.7393791679486412e-09,0.0
8,1,0.0010102797532454133,4.834856473512339e-11,3.2893197055017254e-09,0.0
8,2,0.000795501924585551,3.682856450359928e-11,,0.0
9,0,0.032401591539382935,1.952812134220494e-09,2.6857072121799774e-09,0.0
9,1,0.0008734820876270533,4.1074029594190264e-11,2.8801840912251464e-09,0.0
9,2,0.0007800933672115207,3.510489815505835e-11,,0.0
10,0,0.03295397758483887,1.982241482068048e-09,2.7829558657543885e-09,0.0
10,1,0.0008290064288303256,4.280234153219986e-11,2.9995625983048058e-09,0.0
10,2,0.0006566782249137759,3.2541889322112993e-11,,0.0
11,0,0.03416864201426506,2.1434611863213604e-09,3.0390441274619207e-09,0.0
11,1,0.0008566593751311302,3.977942281130353e-11,3.015733218703076e-09,0.0
