section,method,paper_value,source_value,delta,verdict,source
§5.2 Table 2,phonism (vanilla + Sinkhorn),**0.1058** ⭐,0.1058,0.0000,✅,verdicts/task32_phonism
§5.2 Table 2,HG-Rec c555 (κ=0.5),0.1051,0.1051,0.0000,✅,verdicts/task88_per_layer_curvature_result.md
§5.2 Table 2,HG-Rec c222 (κ=2.0),0.1036,0.1036,0.0000,✅,verdicts/task88_per_layer_curvature_result.md
§5.2 Table 2,HG-Rec c215 (mixed),0.1028,0.1028,0.0000,✅,verdicts/task88_per_layer_curvature_result.md
§5.2 Table 2,HG-Rec c111 (κ=1.0),0.0998,0.0998,0.0000,✅,verdicts/task88_per_layer_curvature_result.md
§5.2 Table 2,HG-Rec free-curv (κ→0),0.1015,0.1015,0.0000,✅,verdicts/task89_free_curv_product_manifold_result.md
§5.6 Table 7,HG-Rec c1055 (valid R@10),**0.1276** ⭐,0.1276,0.0000,✅,verdicts/task91_stage3_dynamics
§5.6 Table 7,HG-Rec c222 (valid R@10),0.1259,0.1259,0.0000,✅,verdicts/task91_stage3_dynamics
§5.6 Table 7,HG-Rec c555 (valid R@10),0.1256,0.1256,0.0000,✅,verdicts/task91_stage3_dynamics
§5.6 Table 7,HG-Rec c111 (valid R@10),0.1254,0.1254,0.0000,✅,verdicts/task91_stage3_dynamics
§5.6 Table 7,HG-Rec free-curv (valid R@10),0.1252,0.1252,0.0000,✅,verdicts/task91_stage3_dynamics
§5.6 Table 7,HG-Rec c215 (valid R@10),0.1250,0.1250,0.0000,✅,verdicts/task91_stage3_dynamics
§5.6 Table 7,HG-Rec c512 (valid R@10),0.1240,0.1240,0.0000,✅,verdicts/task91_stage3_dynamics
§5.4 free-curv,"18/18 (layer, κ_m) → 0.000000",0.000000,0.000000,0.000,✅,verdicts/task89_free_curv_product_manifold_result.md
